state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
India,07 May,-79.0,-31.0,-59.0,-57.0,-56.0,26.0,-55.75
India,08 May,-79.0,-28.0,-59.0,-56.0,-52.0,26.0,-53.75
India,09 May,-79.0,-28.0,-59.0,-56.0,-52.0,26.0,-53.75
India,10 May,-79.0,-28.0,-59.0,-56.0,-52.0,26.0,-53.75
India,11 May,-78.0,-28.0,-58.0,-56.0,-50.0,25.0,-53.0
India,12 May,-78.0,-28.0,-57.0,-55.0,-52.0,24.0,-53.25
India,13 May,-77.0,-26.0,-58.0,-53.0,-49.0,23.0,-51.25
India,14 May,-77.0,-27.0,-57.0,-54.0,-49.0,23.0,-51.75
India,15 May,-76.0,-22.0,-56.0,-52.0,-48.0,23.0,-49.5
India,16 May,-76.0,-22.0,-56.0,-52.0,-48.0,23.0,-49.5
India,17 May,-76.0,-22.0,-56.0,-52.0,-48.0,23.0,-49.5
India,18 May,-74.0,-21.0,-56.0,-52.0,-45.0,22.0,-48.0
India,19 May,-73.0,-20.0,-56.0,-50.0,-46.0,21.0,-47.25
India,20 May,-72.0,-21.0,-57.0,-49.0,-44.0,21.0,-46.5
India,21 May,-72.0,-20.0,-56.0,-49.0,-44.0,21.0,-46.25
India,22 May,-72.0,-17.0,-56.0,-48.0,-42.0,21.0,-44.75
India,23 May,-72.0,-17.0,-56.0,-48.0,-42.0,21.0,-44.75
India,24 May,-72.0,-17.0,-56.0,-48.0,-42.0,21.0,-44.75
India,25 May,-71.0,-19.0,-55.0,-51.0,-51.0,22.0,-48.0
India,26 May,-70.0,-16.0,-54.0,-46.0,-42.0,19.0,-43.5
India,27 May,-69.0,-13.0,-55.0,-45.0,-39.0,19.0,-41.5
India,28 May,-69.0,-14.0,-54.0,-46.0,-40.0,19.0,-42.25
India,29 May,-69.0,-10.0,-54.0,-45.0,-38.0,19.0,-40.5
India,30 May,-69.0,-10.0,-54.0,-45.0,-38.0,19.0,-40.5
India,31 May,-69.0,-10.0,-54.0,-45.0,-38.0,19.0,-40.5
India,01 June,-65.0,-4.0,-53.0,-41.0,-35.0,17.0,-36.25
India,02 June,-65.0,-4.0,-53.0,-40.0,-37.0,16.0,-36.5
India,03 June,-65.0,-4.0,-54.0,-40.0,-35.0,17.0,-36.0
India,04 June,-64.0,-4.0,-53.0,-39.0,-35.0,16.0,-35.5
India,05 June,-62.0,-2.0,-52.0,-39.0,-34.0,17.0,-34.25
India,06 June,-62.0,-2.0,-52.0,-39.0,-34.0,17.0,-34.25
India,07 June,-62.0,-2.0,-52.0,-39.0,-34.0,17.0,-34.25
India,08 June,-59.0,2.0,-51.0,-38.0,-32.0,15.0,-31.75
India,09 June,-59.0,0.0,-51.0,-37.0,-34.0,15.0,-32.5
India,10 June,-58.0,2.0,-51.0,-35.0,-32.0,15.0,-30.75
India,11 June,-57.0,2.0,-49.0,-36.0,-33.0,15.0,-31.0
India,12 June,-57.0,6.0,-50.0,-36.0,-33.0,15.0,-30.0
India,13 June,-57.0,6.0,-50.0,-36.0,-33.0,15.0,-30.0
India,14 June,-57.0,6.0,-50.0,-36.0,-33.0,15.0,-30.0
India,15 June,-56.0,3.0,-49.0,-37.0,-33.0,15.0,-30.75
India,16 June,-57.0,1.0,-48.0,-37.0,-34.0,14.0,-31.75
India,17 June,-56.0,3.0,-50.0,-35.0,-33.0,14.0,-30.25
India,18 June,-57.0,-1.0,-49.0,-38.0,-34.0,15.0,-32.5
India,19 June,-57.0,1.0,-50.0,-38.0,-34.0,15.0,-32.0
India,20 June,-57.0,1.0,-50.0,-38.0,-34.0,15.0,-32.0
India,21 June,-57.0,1.0,-50.0,-38.0,-34.0,15.0,-32.0
India,22 June,-55.0,4.0,-49.0,-37.0,-34.0,15.0,-30.5
India,23 June,-56.0,3.0,-48.0,-36.0,-36.0,15.0,-31.25
India,24 June,-56.0,2.0,-50.0,-36.0,-33.0,14.0,-30.75
India,25 June,-58.0,-2.0,-49.0,-38.0,-34.0,15.0,-33.0
India,26 June,-58.0,1.0,-49.0,-38.0,-33.0,15.0,-32.0
India,27 June,-58.0,1.0,-49.0,-38.0,-33.0,15.0,-32.0
