dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
26 February,Mizoram,,,,,,,,,,,,,,,,
27 February,Mizoram,,,,,,,,,,,,,,,,
28 February,Mizoram,,,,,,,,,,,,,,,,
29 February,Mizoram,,,,,,,,,,,,,,,,
01 March,Mizoram,,,,,,,,,,,,,,,,
02 March,Mizoram,,,,,,,,,,,,,,,,
03 March,Mizoram,,,,,,,,,,,,,,,,
04 March,Mizoram,,,,,,,,,,,,,,,,
05 March,Mizoram,,,,,,,,,,,,,,,,
06 March,Mizoram,,,,,,,,,,,,,,,,
07 March,Mizoram,,,,,,,,,,,,,,,,
08 March,Mizoram,,,,,,,,,,,,,,,,
09 March,Mizoram,,,,,,,,,,,,,,,,
10 March,Mizoram,,,,,,,,,,,,,,,,
11 March,Mizoram,,,,,,,,,,,,,,,,
12 March,Mizoram,,,,,,,,,,,,,,,,
13 March,Mizoram,,,,,,,,,,,,,,,,
14 March,Mizoram,,,,,,,,,,,,,,,,
15 March,Mizoram,,,,,,,,,,,,,,,,
16 March,Mizoram,,,,,,,,,,,,,,,,
17 March,Mizoram,,,,,,,,,,,,,,,,
18 March,Mizoram,,,,,,,,,,,,,,,,
19 March,Mizoram,,,,,,,,,,,,,,,,
20 March,Mizoram,,,,,,,,,,,,,,,,
21 March,Mizoram,,,,,,,,,,,,,,,,
22 March,Mizoram,,,,,,,,,,,,,,,,
23 March,Mizoram,,,,,,,,,,,,,,,,
24 March,Mizoram,,,,,,,,,,,,,,,,
25 March,Mizoram,1,,,,,1,,1.0,,,,,0.806943588187637,,,
26 March,Mizoram,1,,,,,,,1.0,,,,,,,,
27 March,Mizoram,1,,,,,,,1.0,,,,,,,,
28 March,Mizoram,1,,,,,,,1.0,,,,,,,,
29 March,Mizoram,1,,,,,,,1.0,,,,,,,,
30 March,Mizoram,1,,,,,,,1.0,,,,,,,,
31 March,Mizoram,1,,,,,,,1.0,,,,,,,,
01 April,Mizoram,1,,,,,,,,,,,,,,,
02 April,Mizoram,1,,,,,,,,,,,,,,,
03 April,Mizoram,1,,,,,,,,,,,,,,,
04 April,Mizoram,1,,,,,,,,,,,,,,,
05 April,Mizoram,1,,,,,,,,,,,,,,,
06 April,Mizoram,1,1.7241379310344827,,,,,,,,58,58,46.802728114882946,,46.802728114882946,58.0,
07 April,Mizoram,1,1.7241379310344827,,,,,,,,,58,46.802728114882946,,,58.0,
08 April,Mizoram,1,1.3513513513513513,,,,,,,,16,74,59.713825525885134,,12.911097411002192,37.0,
09 April,Mizoram,1,1.1904761904761905,,,,,,,,10,84,67.7832614077615,,8.06943588187637,28.0,
10 April,Mizoram,1,1.1904761904761905,,,,,,,,,84,67.7832614077615,,,28.0,
11 April,Mizoram,1,1.1904761904761905,,,,,,,,,84,67.7832614077615,,,28.0,
12 April,Mizoram,1,1.1494252873563218,,,,,,,,3,87,70.20409217232442,,2.420830764562911,21.75,
13 April,Mizoram,1,1.1235955056179776,,,,,,,,2,89,71.8179793486997,,1.613887176375274,7.75,
14 April,Mizoram,1,1.098901098901099,,,,,,,,2,91,73.43186652507497,,1.613887176375274,6.6,
15 April,Mizoram,1,1.0638297872340425,,,,,,,,3,94,75.85269728963787,,2.420830764562911,4.0,
16 April,Mizoram,1,1.0638297872340425,,,,,,,,,94,75.85269728963787,,,2.5,
17 April,Mizoram,1,1.0638297872340425,,,,,,,,,94,75.85269728963787,,,2.5,
18 April,Mizoram,1,0.9803921568627451,,,,,,,,8,102,82.30824599513898,,6.455548705501096,3.6,
19 April,Mizoram,1,0.8620689655172413,,,,,,,,14,116,93.60545622976589,,11.297210234626919,5.8,
20 April,Mizoram,1,0.7575757575757576,,,,,,,,16,132,106.51655364076808,,12.911097411002192,8.6,
