dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
22 May,Andaman and Nicobar Islands,,33,,,,
23 May,Andaman and Nicobar Islands,,,,,,
24 May,Andaman and Nicobar Islands,,,,,,
25 May,Andaman and Nicobar Islands,,,,,,
26 May,Andaman and Nicobar Islands,,,,,,
27 May,Andaman and Nicobar Islands,,,,,,
28 May,Andaman and Nicobar Islands,,,,,,
29 May,Andaman and Nicobar Islands,,,,,,
30 May,Andaman and Nicobar Islands,,,,,,
31 May,Andaman and Nicobar Islands,,,,,,
01 June,Andaman and Nicobar Islands,,,,,,
02 June,Andaman and Nicobar Islands,,,,,,
03 June,Andaman and Nicobar Islands,,,,,,
04 June,Andaman and Nicobar Islands,,,,,,
05 June,Andaman and Nicobar Islands,,,,,,
06 June,Andaman and Nicobar Islands,,,,,,
30 January,Andhra Pradesh,,,,,,
31 January,Andhra Pradesh,,,,,,
01 February,Andhra Pradesh,,,,,,
02 February,Andhra Pradesh,,,,,,
03 February,Andhra Pradesh,,,,,,
04 February,Andhra Pradesh,,,,,,
05 February,Andhra Pradesh,,,,,,
06 February,Andhra Pradesh,,,,,,
07 February,Andhra Pradesh,,,,,,
08 February,Andhra Pradesh,,,,,,
09 February,Andhra Pradesh,,,,,,
10 February,Andhra Pradesh,,,,,,
11 February,Andhra Pradesh,,,,,,
12 February,Andhra Pradesh,,,,,,
13 February,Andhra Pradesh,,,,,,
14 February,Andhra Pradesh,,,,,,
15 February,Andhra Pradesh,,,,,,
16 February,Andhra Pradesh,,,,,,
17 February,Andhra Pradesh,,,,,,
18 February,Andhra Pradesh,,,,,,
19 February,Andhra Pradesh,,,,,,
20 February,Andhra Pradesh,,,,,,
21 February,Andhra Pradesh,,,,,,
22 February,Andhra Pradesh,,,,,,
23 February,Andhra Pradesh,,,,,,
24 February,Andhra Pradesh,,,,,,
25 February,Andhra Pradesh,,,,,,
26 February,Andhra Pradesh,,,,,,
27 February,Andhra Pradesh,,,,,,
28 February,Andhra Pradesh,,,,,,
29 February,Andhra Pradesh,,,,,,
01 March,Andhra Pradesh,,,,,,
02 March,Andhra Pradesh,,,,,,
03 March,Andhra Pradesh,,,,,,
04 March,Andhra Pradesh,,,,,,
05 March,Andhra Pradesh,,,,,,
06 March,Andhra Pradesh,,,,,,
07 March,Andhra Pradesh,,,,,,
08 March,Andhra Pradesh,,,,,,
09 March,Andhra Pradesh,,,,,,
10 March,Andhra Pradesh,,,,,,
11 March,Andhra Pradesh,,,,,,
12 March,Andhra Pradesh,,,,,,
13 March,Andhra Pradesh,,,,,,
14 March,Andhra Pradesh,,,,,,
15 March,Andhra Pradesh,,,,,,
16 March,Andhra Pradesh,,,,,,
17 March,Andhra Pradesh,,,,,,
18 March,Andhra Pradesh,,,,,,
