dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
31 May,Delhi,9.325889164598841,1295,0.2142266335814723,918.0,918.0,11372.181445681832
01 June,Delhi,9.57722134625374,990,0.20828950136755733,968.7142857142857,968.7142857142857,11626.204203085235
02 June,Delhi,9.897722343218236,1298,0.21383855024711698,1095.2857142857142,1095.2857142857142,11950.613657627347
03 June,Delhi,10.273957722305504,1513,0.231416335270725,1198.2857142857142,1198.2857142857142,12300.035241448819
04 June,Delhi,10.57224763853771,1359,0.21364565319918252,1246.142857142857,1246.142857142857,12639.997109709506
05 June,Delhi,10.895640337121886,1330,0.2564102564102564,1278.2857142857142,1278.2857142857142,12917.214875889067
06 June,Delhi,11.201711001203048,1320,0.2548262548262548,1300.7142857142858,1300.7142857142858,13194.05852902385
30 January,Goa,,,,,,
31 January,Goa,,,,,,
01 February,Goa,,,,,,
02 February,Goa,,,,,,
03 February,Goa,,,,,,
04 February,Goa,,,,,,
05 February,Goa,,,,,,
06 February,Goa,,,,,,
07 February,Goa,,,,,,
08 February,Goa,,,,,,
09 February,Goa,,,,,,
10 February,Goa,,,,,,
11 February,Goa,,,,,,
12 February,Goa,,,,,,
13 February,Goa,,,,,,
14 February,Goa,,,,,,
15 February,Goa,,,,,,
16 February,Goa,,,,,,
17 February,Goa,,,,,,
18 February,Goa,,,,,,
19 February,Goa,,,,,,
20 February,Goa,,,,,,
21 February,Goa,,,,,,
22 February,Goa,,,,,,
23 February,Goa,,,,,,
24 February,Goa,,,,,,
25 February,Goa,,,,,,
26 February,Goa,,,,,,
27 February,Goa,,,,,,
28 February,Goa,,,,,,
29 February,Goa,,,,,,
01 March,Goa,,,,,,
02 March,Goa,,,,,,
03 March,Goa,,,,,,
04 March,Goa,,,,,,
05 March,Goa,,,,,,
06 March,Goa,,,,,,
07 March,Goa,,,,,,
08 March,Goa,,,,,,
09 March,Goa,,,,,,
10 March,Goa,,,,,,
11 March,Goa,,,,,,
12 March,Goa,,,,,,
13 March,Goa,,,,,,
14 March,Goa,,,,,,
15 March,Goa,,,,,,
16 March,Goa,,,,,,
17 March,Goa,,,,,,
18 March,Goa,,,,,,
19 March,Goa,,,,,,
20 March,Goa,,,,,,
21 March,Goa,,,,,,
22 March,Goa,,,,,,
23 March,Goa,,,,,,
24 March,Goa,,,,,,
25 March,Goa,,,,,,
26 March,Goa,,,,,,
27 March,Goa,,,,,,
28 March,Goa,,,,,,
29 March,Goa,,,,,,
30 March,Goa,,,,,,
31 March,Goa,,,,,,
01 April,Goa,,,,,,
02 April,Goa,,,,,,
03 April,Goa,,,,,,
04 April,Goa,,,,,,
05 April,Goa,,,,,,
06 April,Goa,,,,,,
07 April,Goa,,,,,,
08 April,Goa,,,,,,
09 April,Goa,,,,,,
10 April,Goa,1.9774011299435028,0,,,,223.1678486997636
11 April,Goa,,,,,,
12 April,Goa,,,,,,
13 April,Goa,1.5909090909090908,0,,,,277.38376674546885
14 April,Goa,1.4613778705636744,0,,,,301.9700551615445
15 April,Goa,1.2589928057553956,0,,,,350.5122143420016
16 April,Goa,1.1456628477905073,0,0.0,0.0,0.0,385.18518518518516
17 April,Goa,1.0401188707280833,0,0.0,0.0,0.0,424.2710795902285
18 April,Goa,0.9234828496042217,0,0.0,0.0,0.0,477.85657998423954
19 April,Goa,0.847457627118644,0,0.0,0.0,0.0,520.7249802994484
20 April,Goa,0.7769145394006659,0,0.0,0.0,0.0,568.0063041765169
21 April,Goa,0.6972111553784861,0,0.0,0.0,0.0,632.9393223010244
22 April,Goa,0.6272401433691757,0,0.0,0.0,0.0,703.5460992907801
23 April,Goa,0.5804311774461028,0,0.0,0.0,0.0,760.2836879432624
24 April,Goa,,,,,,
25 April,Goa,,,,,,
26 April,Goa,,,,,,
27 April,Goa,,,,0.0,0.0,
28 April,Goa,0.39414414414414417,0,0.0,0.0,0.0,1119.6217494089835
29 April,Goa,0.3741314804917157,0,0.0,0.0,0.0,1179.5114263199368
30 April,Goa,0.34465780403741997,0,0.0,0.0,0.0,1280.3782505910165
01 May,Goa,0.32095369096744614,0,0.0,0.0,0.0,1374.9408983451538
02 May,Goa,0.2951096121416526,0,0.0,0.0,0.0,1495.350669818755
03 May,Goa,0.27472527472527475,0,0.0,0.0,0.0,1606.3041765169426
04 May,Goa,0.24146257330113832,0,0.0,0.0,0.0,1827.5807722616232
05 May,Goa,0.22609819121447028,0,0.0,0.0,0.0,1951.77304964539
06 May,Goa,0.20521841102316035,0,0.0,0.0,0.0,2150.354609929078
07 May,Goa,,,,,,
08 May,Goa,,,,0.0,0.0,
09 May,Goa,0.15473032714412024,0,0.0,0.0,0.0,2852.0094562647755
10 May,Goa,0.1443894389438944,0,0.0,0.0,0.0,3056.2647754137115
11 May,Goa,0.13190126248351233,0,0.0,0.0,0.0,3345.626477541371
12 May,Goa,,,,,,
13 May,Goa,,,,,,
14 May,Goa,,,,0.0,0.0,
15 May,Goa,0.09583789704271632,0,0.0,0.0,0.0,4604.5705279747835
16 May,Goa,0.24965672200724004,13,0.018387553041018388,3.25,3.25,5050.275807722616
17 May,Goa,0.3301081388730791,9,0.011627906976744186,5.5,5.5,5538.219070133964
18 May,Goa,0.3301081388730791,0,,5.5,5.5,5538.219070133964
19 May,Goa,0.481725835165986,17,0.02225130890052356,7.8,7.8,6019.858156028369
20 May,Goa,0.49329123914759276,4,0.0068143100511073255,7.166666666666667,7.166666666666667,6389.913317572892
21 May,Goa,0.47886545722442214,2,0.0027662517289073307,6.428571428571429,6.428571428571429,6845.705279747833
22 May,Goa,0.4752684386551663,2,0.003976143141153081,6.714285714285714,6.714285714285714,7162.805358550039
23 May,Goa,0.46044370029300963,1,0.0017152658662092624,5.0,5.0,7530.338849487785
24 May,Goa,0.5280422433794704,11,0.019855595667870037,5.285714285714286,5.285714285714286,7879.590228526399
25 May,Goa,0.52099533437014,1,0.002770083102493075,5.428571428571429,5.428571428571429,8107.171000788022
26 May,Goa,0.5036457941817635,0,0.0,3.0,3.0,8386.446020488575
27 May,Goa,0.4888217957012436,1,0.001644736842105263,2.5714285714285716,2.5714285714285716,8769.739952718675
28 May,Goa,0.4667839263969693,1,0.001148105625717566,2.4285714285714284,2.4285714285714284,9318.833727344365
29 May,Goa,0.42748280775664455,0,0.0,2.142857142857143,2.142857142857143,10175.571315996847
30 May,Goa,0.39169604386995693,1,0.0005780346820809249,2.142857142857143,2.142857142857143,11266.193853427896
31 May,Goa,0.3642706890359653,1,0.0006172839506172839,0.7142857142857143,0.7142857142857143,12287.470449172577
01 June,Goa,0.35129932627526467,2,0.0015515903801396431,0.8571428571428571,0.8571428571428571,13100.078802206463
02 June,Goa,0.3530252926981857,6,0.0037546933667083854,1.7142857142857142,1.7142857142857142,14107.48620961387
03 June,Goa,0.5290560967416863,47,0.03268428372739916,8.285714285714286,8.285714285714286,15014.026792750197
04 June,Goa,0.6561264822134387,40,0.026954177897574125,13.857142857142858,13.857142857142858,15949.56658786446
05 June,Goa,0.7478632478632479,30,0.03303964757709251,18.142857142857142,18.142857142857142,16521.98581560284
06 June,Goa,0.9743814320122619,71,0.059463986599664995,28.142857142857142,28.142857142857142,17274.70449172577
30 January,Gujarat,,,,,,
31 January,Gujarat,,,,,,
01 February,Gujarat,,,,,,
02 February,Gujarat,,,,,,
03 February,Gujarat,,,,,,
04 February,Gujarat,,,,,,
05 February,Gujarat,,,,,,
06 February,Gujarat,,,,,,
07 February,Gujarat,,,,,,
08 February,Gujarat,,,,,,
09 February,Gujarat,,,,,,
10 February,Gujarat,,,,,,
11 February,Gujarat,,,,,,
12 February,Gujarat,,,,,,
13 February,Gujarat,,,,,,
14 February,Gujarat,,,,,,
15 February,Gujarat,,,,,,
16 February,Gujarat,,,,,,
17 February,Gujarat,,,,,,
18 February,Gujarat,,,,,,
19 February,Gujarat,,,,,,
20 February,Gujarat,,,,,,
21 February,Gujarat,,,,,,
22 February,Gujarat,,,,,,
23 February,Gujarat,,,,,,
24 February,Gujarat,,,,,,
25 February,Gujarat,,,,,,
26 February,Gujarat,,,,,,
27 February,Gujarat,,,,,,
28 February,Gujarat,,,,,,
29 February,Gujarat,,,,,,
01 March,Gujarat,,,,,,
02 March,Gujarat,,,,,,
03 March,Gujarat,,,,,,
04 March,Gujarat,,,,,,
05 March,Gujarat,,,,,,
06 March,Gujarat,,,,,,
07 March,Gujarat,,,,,,
08 March,Gujarat,,,,,,
09 March,Gujarat,,,,,,
10 March,Gujarat,,,,,,
11 March,Gujarat,,,,,,
12 March,Gujarat,,,,,,
13 March,Gujarat,,,,,,
14 March,Gujarat,,,,,,
15 March,Gujarat,,,,,,
16 March,Gujarat,,,,,,
17 March,Gujarat,,,,,,
18 March,Gujarat,,,,,,
19 March,Gujarat,,,,,,
20 March,Gujarat,,,,,,
21 March,Gujarat,,,,,,
22 March,Gujarat,,,,,,
23 March,Gujarat,,,,,,
24 March,Gujarat,,,,,,
25 March,Gujarat,,,,,,
26 March,Gujarat,,,,,,
27 March,Gujarat,,,,,,
28 March,Gujarat,,,,,,
29 March,Gujarat,,,,,,
30 March,Gujarat,,,,,,
31 March,Gujarat,,,,,,
01 April,Gujarat,,,,,,
02 April,Gujarat,,,,,,
03 April,Gujarat,,,,,,
04 April,Gujarat,,,,,,
05 April,Gujarat,,,,,,
06 April,Gujarat,,,,,,
07 April,Gujarat,,,,,,
08 April,Gujarat,,,,,,
09 April,Gujarat,,,,,,
10 April,Gujarat,,,,,,
11 April,Gujarat,4.793608521970706,90,,,,152.85162531628097
12 April,Gujarat,4.40460947503201,48,,,,183.4125566506434
13 April,Gujarat,4.0137534208125745,56,,,,223.1167174415979
14 April,Gujarat,4.118825100133511,45,,,,234.53009804751503
15 April,Gujarat,3.990206803146325,149,,,,300.55235595581746
16 April,Gujarat,4.4443381332823035,163,0.0955451348182884,91.83333333333333,91.83333333333333,327.26185844373873
17 April,Gujarat,4.679981263041349,170,0.06589147286821706,103.0,103.0,367.6548926869022
18 April,Gujarat,5.271626695272393,277,0.1057655593738068,129.71428571428572,129.71428571428572,408.65851930816
19 April,Gujarat,5.988867509620671,367,0.12225183211192538,175.28571428571428,175.28571428571428,455.6584762066006
20 April,Gujarat,5.8200264137351425,196,0.04653371320037987,195.28571428571428,195.28571428571428,521.6024530407884
21 April,Gujarat,5.9138179152298465,239,0.06803302021064617,223.0,223.0,576.602735713747
22 April,Gujarat,6.105882651378707,229,0.08834876543209877,234.42857142857142,234.42857142857142,617.1836445347857
23 April,Gujarat,6.191015477538694,217,0.07323658454269322,242.14285714285714,242.14285714285714,663.5730090551319
24 April,Gujarat,6.022292107909205,191,0.04381738930947465,245.14285714285714,245.14285714285714,731.8184494682906
25 April,Gujarat,6.335506571458139,246,0.15648854961832062,240.71428571428572,240.71428571428572,756.4300191699391
26 April,Gujarat,6.461020531991936,240,0.08645533141210375,222.57142857142858,222.57142857142858,799.8916715183972
27 April,Gujarat,6.620625291647223,246,0.09903381642512077,229.71428571428572,229.71428571428572,838.7817091385592
28 April,Gujarat,6.727152813675335,227,0.08986539984164688,228.0,228.0,878.3293077812843
29 April,Gujarat,6.861888111888112,308,0.09093593150280484,239.28571428571428,239.28571428571428,931.3569073865536
30 April,Gujarat,6.8664364835096166,313,0.06926311130781146,253.0,253.0,1002.1073421713814
01 May,Gujarat,6.86451275191206,326,0.0683868260960772,272.2857142857143,272.2857142857143,1076.7405182322962
02 May,Gujarat,6.819040423120514,333,0.06233620366903781,284.7142857142857,284.7142857142857,1160.3760178163968
03 May,Gujarat,6.779915063702223,374,0.06292059219380888,303.85714285714283,303.85714285714283,1253.436558723902
04 May,Gujarat,6.856629808146678,376,0.08195292066259809,322.42857142857144,322.42857142857144,1325.267272331512
05 May,Gujarat,6.967377722242056,441,0.08848314606741572,353.0,353.0,1403.2978470090031
06 May,Gujarat,6.959691567480119,380,0.06835761827666846,363.2857142857143,363.2857142857143,1490.3307452096797
07 May,Gujarat,6.974431394389029,388,0.07236105930622902,374.0,374.0,1574.2793690902388
08 May,Gujarat,7.024652230846602,390,0.08069522036002483,383.14285714285717,383.14285714285717,1649.9458553294671
09 May,Gujarat,7.110807113543092,394,0.0924015009380863,391.85714285714283,391.85714285714283,1716.7039553344473
10 May,Gujarat,7.220709647291022,398,0.10356492323705438,395.2857142857143,395.2857142857143,1776.8707888989734
11 May,Gujarat,7.33321885464068,346,0.11622438696674504,391.0,391.0,1823.4793404268407
12 May,Gujarat,7.447965466470352,362,0.11806914546640573,379.7142857142857,379.7142857142857,1871.481295073949
13 May,Gujarat,7.578272565966459,365,0.13219847881202462,377.57142857142856,377.57142857142856,1914.708104200063
14 May,Gujarat,7.690765628508196,323,0.13396930734135212,368.2857142857143,368.2857142857143,1952.4552381381511
15 May,Gujarat,7.767931862442222,341,0.10821961282132657,361.2857142857143,361.2857142857143,2001.7879710452085
16 May,Gujarat,7.939627330987594,1057,0.10020857034508912,456.0,456.0,2166.9297249974907
17 May,Gujarat,7.924791086350975,391,0.07529366454843057,455.0,455.0,2248.2324485729746
18 May,Gujarat,7.8925442132989305,366,0.07006125574272588,457.85714285714283,457.85714285714283,2330.020514807969
19 May,Gujarat,7.849412312347259,395,0.06752136752136752,462.57142857142856,462.57142857142856,2421.6093715221186
20 May,Gujarat,7.799243649391685,398,0.06526730075434568,467.2857142857143,467.2857142857143,2517.0809695123553
21 May,Gujarat,7.769993740671192,371,0.06895910780669146,474.14285714285717,474.14285714285717,2601.3114052597275
22 May,Gujarat,7.691728190447491,363,0.056630265210608426,477.2857142857143,477.2857142857143,2701.667742274719
23 May,Gujarat,7.67628097131433,396,0.07192154013803125,382.85714285714283,382.85714285714283,2787.8708610897797
24 May,Gujarat,7.686418618894503,387,0.080625,382.2857142857143,382.2857142857143,2863.0206922398515
25 May,Gujarat,7.7634268972585465,412,0.11795018608645863,388.85714285714283,388.85714285714283,2917.7078506163516
26 May,Gujarat,7.828833730383017,353,0.11957994579945799,382.85714285714283,382.85714285714283,2963.9249967736455
27 May,Gujarat,7.8421359413606515,382,0.08395604395604396,380.57142857142856,380.57142857142856,3035.160774217984
28 May,Gujarat,7.862740345774761,369,0.08817204301075268,380.2857142857143,380.2857142857143,3100.682033251953
29 May,Gujarat,7.913401263642726,372,0.10836003495484998,381.57142857142856,381.57142857142856,3154.429818739077
30 May,Gujarat,7.948294294878025,412,0.09583624098627588,383.85714285714283,383.85714285714283,3221.73588626286
31 May,Gujarat,7.924314632189874,438,0.07121951219512195,391.14285714285717,391.14285714285717,3318.021607423889
01 June,Gujarat,7.961323974141997,423,0.09773567467652496,392.7142857142857,392.7142857142857,3385.781705177537
02 June,Gujarat,7.956319660665132,415,0.07754110612855007,401.57142857142856,401.57142857142856,3469.5737669098667
03 June,Gujarat,7.949609035621199,485,0.07713104325699746,416.2857142857143,416.2857142857143,3568.0200457164606
04 June,Gujarat,7.9552498493081,492,0.08168686700979579,433.85714285714283,433.85714285714283,3662.3174275949773
05 June,Gujarat,7.969205246945743,510,0.08514190317195326,453.57142857142856,453.57142857142856,3756.0981543843372
06 June,Gujarat,7.987182723549099,498,0.0874451273046532,465.85714285714283,465.85714285714283,3845.2602978009327
30 January,Haryana,,,,,,
31 January,Haryana,,,,,,
01 February,Haryana,,,,,,
02 February,Haryana,,,,,,
03 February,Haryana,,,,,,
04 February,Haryana,,,,,,
05 February,Haryana,,,,,,
06 February,Haryana,,,,,,
07 February,Haryana,,,,,,
08 February,Haryana,,,,,,
09 February,Haryana,,,,,,
10 February,Haryana,,,,,,
11 February,Haryana,,,,,,
12 February,Haryana,,,,,,
13 February,Haryana,,,,,,
14 February,Haryana,,,,,,
15 February,Haryana,,,,,,
16 February,Haryana,,,,,,
17 February,Haryana,,,,,,
18 February,Haryana,,,,,,
19 February,Haryana,,,,,,
20 February,Haryana,,,,,,
21 February,Haryana,,,,,,
22 February,Haryana,,,,,,
23 February,Haryana,,,,,,
24 February,Haryana,,,,,,
25 February,Haryana,,,,,,
26 February,Haryana,,,,,,
27 February,Haryana,,,,,,
28 February,Haryana,,,,,,
29 February,Haryana,,,,,,
01 March,Haryana,,,,,,
02 March,Haryana,,,,,,
03 March,Haryana,,,,,,
04 March,Haryana,,,,,,
05 March,Haryana,,,,,,
06 March,Haryana,,,,,,
07 March,Haryana,,,,,,
08 March,Haryana,,,,,,
09 March,Haryana,,,,,,
10 March,Haryana,,,,,,
11 March,Haryana,,,,,,
12 March,Haryana,,,,,,
13 March,Haryana,,,,,,
14 March,Haryana,,,,,,
15 March,Haryana,,,,,,
16 March,Haryana,,,,,,
17 March,Haryana,,,,,,
18 March,Haryana,,,,,,
19 March,Haryana,,,,,,
20 March,Haryana,,,,,,
21 March,Haryana,,,,,,
22 March,Haryana,,,,,,
23 March,Haryana,,,,,,
24 March,Haryana,,,,,,
25 March,Haryana,,,,,,
26 March,Haryana,,,,,,
27 March,Haryana,,,,,,
28 March,Haryana,,,,,,
29 March,Haryana,,,,,,
30 March,Haryana,,,,,,
31 March,Haryana,,,,,,
01 April,Haryana,,,,,,
02 April,Haryana,,,,,,
03 April,Haryana,,,,,,
04 April,Haryana,,,,,,
05 April,Haryana,,,,,,
06 April,Haryana,,,,,,
07 April,Haryana,,,,,,
08 April,Haryana,5.773584905660377,12,,,,93.95599852676995
09 April,Haryana,5.2631578947368425,3,,,,105.08889797484758
10 April,Haryana,4.593138644740573,6,,,,125.05011577506325
11 April,Haryana,4.504504504504505,3,,,,129.87200852964463
12 April,Haryana,4.637458365359979,16,,,,138.38123103772946
13 April,Haryana,4.054355090220539,1,0.0017064846416382253,6.833333333333333,6.833333333333333,159.15791599496993
14 April,Haryana,3.531669865642994,2,0.0027739251040221915,6.142857142857143,6.142857142857143,184.7210386130081
15 April,Haryana,2.5717379534380074,6,0.0027548209366391185,5.285714285714286,5.285714285714286,261.94223287387786
16 April,Haryana,2.6537698412698414,24,0.03550295857988166,8.285714285714286,8.285714285714286,285.90987627165015
17 April,Haryana,2.510130571814498,9,0.01097560975609756,8.714285714285714,8.714285714285714,314.98305317427327
18 April,Haryana,2.2192462215419937,9,0.005732484076433121,9.571428571428571,9.571428571428571,370.6475504146615
19 April,Haryana,1.9705210057539213,18,0.00806090461262875,9.857142857142858,9.857142857142858,449.81877483363405
20 April,Haryana,1.8065351950482222,1,0.0008285004142502071,9.857142857142858,9.857142857142858,492.613073030544
21 April,Haryana,1.7511330861145447,4,0.005988023952095809,10.142857142857142,10.142857142857142,516.2970756780468
22 April,Haryana,1.6965490649701176,9,0.009009009009009009,10.571428571428571,10.571428571428571,551.7167143679499
23 April,Haryana,1.535661471959959,6,0.0029688273132112814,8.0,8.0,623.3714589047808
24 April,Haryana,1.4592730167153092,5,0.00395882818685669,7.428571428571429,7.428571428571429,668.1512423535772
25 April,Haryana,1.4158855451406018,12,0.008421052631578947,7.857142857142857,7.857142857142857,718.6747509953309
26 April,Haryana,1.3788605766991195,9,0.007518796992481203,6.571428571428571,6.571428571428571,761.1144982544039
27 April,Haryana,1.3090940721089026,5,0.00327653997378768,7.142857142857143,7.142857142857143,815.2189713683099
28 April,Haryana,1.240634818335616,7,0.0038188761593016913,7.571428571428571,7.571428571428571,880.2081582738077
29 April,Haryana,1.18938350925501,3,0.0022692889561270802,6.714285714285714,6.714285714285714,927.0797922558417
30 April,Haryana,1.202042408339834,28,0.013631937682570594,9.857142857142858,9.857142857142858,999.9045548875343
01 May,Haryana,1.1824715974959426,18,0.00904977375565611,11.714285714285714,11.714285714285714,1070.4247364232874
02 May,Haryana,1.1826923076923077,12,0.011892963330029732,11.714285714285714,11.714285714285714,1106.1989260510272
03 May,Haryana,1.2529054935087023,73,0.0179009318293281,20.857142857142858,20.857142857142858,1250.7847985009018
04 May,Haryana,1.3540057093470916,75,0.025817555938037865,30.857142857142858,30.857142857142858,1353.781845942512
05 May,Haryana,1.3371724171587527,31,0.011075384065737763,34.285714285714285,34.285714285714285,1453.0206534430513
06 May,Haryana,1.3724901222301809,46,0.02002612102742708,40.42857142857143,40.42857142857143,1534.4610038641797
07 May,Haryana,1.3442305624260673,31,0.009639303482587064,40.857142857142854,40.857142857142854,1648.4845854725165
08 May,Haryana,1.3006070839866521,22,0.00676714856967087,41.42857142857143,41.42857142857143,1763.749095363282
09 May,Haryana,1.2668443376750123,28,0.007918552036199095,43.714285714285715,43.714285714285715,1889.1183069823985
10 May,Haryana,1.2337012793289226,28,0.007565522831667117,37.285714285714285,37.285714285714285,2020.3376090758234
11 May,Haryana,1.2220641165146062,27,0.009811046511627907,30.428571428571427,30.428571428571427,2117.9100271685293
12 May,Haryana,1.250460907065104,50,0.018925056775170326,33.142857142857146,33.142857142857146,2211.58238494503
13 May,Haryana,1.2054419700539636,13,0.0038145539906103286,28.428571428571427,28.428571428571427,2332.413344559834
14 May,Haryana,1.1822346837016375,25,0.007339988256018791,27.571428571428573,27.571428571428573,2453.1733939870714
15 May,Haryana,1.1807648701711695,36,0.011483253588516746,29.571428571428573,29.571428571428573,2564.3251129989294
16 May,Haryana,1.181139060148874,33,0.011909058101768314,30.285714285714285,30.285714285714285,2662.5711778735254
17 May,Haryana,1.1662330671929668,23,0.007844474761255117,29.571428571428573,29.571428571428573,2766.525512847295
18 May,Haryana,1.1499665419217329,18,0.0067440989134507304,28.285714285714285,28.285714285714285,2861.155158155955
19 May,Haryana,1.1678619887575112,36,0.01950162513542795,26.285714285714285,26.285714285714285,2926.6052612806407
20 May,Haryana,1.155532259601639,6,0.004285714285714286,25.285714285714285,25.285714285714285,2976.242392577802
21 May,Haryana,1.169756518187388,61,0.014544587505960896,30.428571428571427,30.428571428571427,3124.9410559065846
22 May,Haryana,1.1709961698438307,36,0.012076484401207649,30.428571428571427,30.428571428571427,3230.6326904757548
23 May,Haryana,1.2027436592758016,64,0.02194787379972565,34.857142857142854,34.857142857142854,3334.0197439489857
24 May,Haryana,1.2205430591922148,53,0.017839111410299563,39.142857142857146,39.142857142857146,3439.356827580319
25 May,Haryana,1.2131577105023652,29,0.009728279100972828,40.714285714285715,40.714285714285715,3545.0484621494893
26 May,Haryana,1.2791860259954126,92,0.04529788281634663,48.714285714285715,48.714285714285715,3617.057757624157
27 May,Haryana,1.3184148472032613,76,0.027849028948332723,58.714285714285715,58.714285714285715,3713.814708559838
28 May,Haryana,1.3921929816441576,123,0.037454323995127894,67.57142857142857,67.57142857142857,3830.2492365454655
29 May,Haryana,1.551288985036957,217,0.07459608112753524,93.42857142857143,93.42857142857143,3933.3881043622105
30 May,Haryana,1.6767960377736892,202,0.053967405824205186,113.14285714285714,113.14285714285714,4066.0965203945498
31 May,Haryana,1.769963940476392,168,0.04862518089725036,129.57142857142858,129.57142857142858,4188.593869417187
01 June,Haryana,1.9346521157178167,265,0.07278220269156825,163.28571428571428,163.28571428571428,4317.685865883591
02 June,Haryana,2.129026042837417,296,0.10628366247755835,192.42857142857142,192.42857142857142,4416.428302071159
03 June,Haryana,2.309707181672466,302,0.09066346442509757,224.71428571428572,224.71428571428572,4534.52921946462
04 June,Haryana,2.474825570431831,327,0.06987179487179487,253.85714285714286,253.85714285714286,4700.459058372274
05 June,Haryana,2.616913540726945,316,0.06479393069509945,268.0,268.0,4873.373550755314
06 June,Haryana,2.789227034046638,355,0.08380547686496695,289.85714285714283,289.85714285714283,5023.561328023011
30 January,Himachal Pradesh,,,,,,
31 January,Himachal Pradesh,,,,,,
01 February,Himachal Pradesh,,,,,,
02 February,Himachal Pradesh,,,,,,
03 February,Himachal Pradesh,,,,,,
04 February,Himachal Pradesh,,,,,,
05 February,Himachal Pradesh,,,,,,
06 February,Himachal Pradesh,,,,,,
07 February,Himachal Pradesh,,,,,,
08 February,Himachal Pradesh,,,,,,
09 February,Himachal Pradesh,,,,,,
10 February,Himachal Pradesh,,,,,,
11 February,Himachal Pradesh,,,,,,
12 February,Himachal Pradesh,,,,,,
13 February,Himachal Pradesh,,,,,,
14 February,Himachal Pradesh,,,,,,
15 February,Himachal Pradesh,,,,,,
16 February,Himachal Pradesh,,,,,,
17 February,Himachal Pradesh,,,,,,
18 February,Himachal Pradesh,,,,,,
19 February,Himachal Pradesh,,,,,,
20 February,Himachal Pradesh,,,,,,
21 February,Himachal Pradesh,,,,,,
22 February,Himachal Pradesh,,,,,,
23 February,Himachal Pradesh,,,,,,
24 February,Himachal Pradesh,,,,,,
25 February,Himachal Pradesh,,,,,,
26 February,Himachal Pradesh,,,,,,
27 February,Himachal Pradesh,,,,,,
28 February,Himachal Pradesh,,,,,,
29 February,Himachal Pradesh,,,,,,
01 March,Himachal Pradesh,,,,,,
02 March,Himachal Pradesh,,,,,,
03 March,Himachal Pradesh,,,,,,
04 March,Himachal Pradesh,,,,,,
05 March,Himachal Pradesh,,,,,,
06 March,Himachal Pradesh,,,,,,
07 March,Himachal Pradesh,,,,,,
08 March,Himachal Pradesh,,,,,,
09 March,Himachal Pradesh,,,,,,
10 March,Himachal Pradesh,,,,,,
11 March,Himachal Pradesh,,,,,,
12 March,Himachal Pradesh,,,,,,
13 March,Himachal Pradesh,,,,,,
14 March,Himachal Pradesh,,,,,,
15 March,Himachal Pradesh,,,,,,
16 March,Himachal Pradesh,,,,,,
17 March,Himachal Pradesh,,,,,,
18 March,Himachal Pradesh,,,,,,
19 March,Himachal Pradesh,,,,,,
20 March,Himachal Pradesh,,,,,,
21 March,Himachal Pradesh,,,,,,
22 March,Himachal Pradesh,,,,,,
23 March,Himachal Pradesh,,,,,,
24 March,Himachal Pradesh,,,,,,
25 March,Himachal Pradesh,,,,,,
26 March,Himachal Pradesh,,,,,,
27 March,Himachal Pradesh,,,,,,
28 March,Himachal Pradesh,,,,,,
29 March,Himachal Pradesh,,,,,,
30 March,Himachal Pradesh,,,,,,
31 March,Himachal Pradesh,,,,,,
01 April,Himachal Pradesh,,,,,,
02 April,Himachal Pradesh,,,,,,
03 April,Himachal Pradesh,,,,,,
04 April,Himachal Pradesh,,,,,,
05 April,Himachal Pradesh,,,,,,
06 April,Himachal Pradesh,,,,,,
07 April,Himachal Pradesh,,,,,,
08 April,Himachal Pradesh,,,,,,
09 April,Himachal Pradesh,,,,,,
10 April,Himachal Pradesh,,,,,,
11 April,Himachal Pradesh,3.3333333333333335,0,,,,120.77367616954209
12 April,Himachal Pradesh,2.875112309074573,2,,,,149.35677952966705
13 April,Himachal Pradesh,2.644628099173554,0,,,,162.37349796127324
14 April,Himachal Pradesh,2.440884820747521,0,,,,175.9269882869663
15 April,Himachal Pradesh,2.4544179523141656,3,,,,191.35918024196334
16 April,Himachal Pradesh,2.1820448877805485,0,,,,215.24552952882834
17 April,Himachal Pradesh,1.8072289156626506,1,0.002577319587628866,0.8571428571428571,0.8571428571428571,267.3124032552532
18 April,Himachal Pradesh,1.7671046669687358,3,0.013953488372093023,1.2857142857142858,1.2857142857142858,296.16389256242155
19 April,Himachal Pradesh,1.527614571092832,0,0.0,1.0,1.0,342.5946614009344
20 April,Himachal Pradesh,1.3485477178423237,0,0.0,1.0,1.0,388.08607942479523
21 April,Himachal Pradesh,1.1673151750972763,0,0.0,1.0,1.0,448.3387245360446
22 April,Himachal Pradesh,1.054054054054054,0,0.0,0.5714285714285714,0.5714285714285714,496.51400203033967
23 April,Himachal Pradesh,0.9950248756218906,1,0.003125,0.7142857142857143,0.7142857142857143,539.455753557288
24 April,Himachal Pradesh,0.9242144177449169,0,0.0,0.5714285714285714,0.5714285714285714,580.7871894019758
25 April,Himachal Pradesh,0.8652390222799048,0,0.0,0.14285714285714285,0.14285714285714285,620.3741165908812
26 April,Himachal Pradesh,0.8161599673536013,0,0.0,0.14285714285714285,0.14285714285714285,657.6797632299175
27 April,Himachal Pradesh,0.7833920877399139,0,0.0,0.14285714285714285,0.14285714285714285,685.1893228018688
