state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Andaman and Nicobar Islands,19 February,-5,9,-6,2,4,1,2.5
Andaman and Nicobar Islands,20 February,-2,-4,3,-1,1,1,-1.5
Andaman and Nicobar Islands,21 February,-1,-9,1,1,-9,4,-4.5
Andaman and Nicobar Islands,22 February,-1,-9,1,1,-9,4,-4.5
Andaman and Nicobar Islands,23 February,-1,-9,1,1,-9,4,-4.5
Andaman and Nicobar Islands,24 February,-3,-19,-2,8,4,0,-2.5
Andaman and Nicobar Islands,25 February,-2,-2,-5,3,3,2,0.5
Andaman and Nicobar Islands,26 February,-6,-14,-5,1,3,0,-4.0
Andaman and Nicobar Islands,27 February,-4,-14,-7,0,1,1,-4.25
Andaman and Nicobar Islands,28 February,-2,-21,-13,0,5,1,-4.5
Andaman and Nicobar Islands,29 February,-2,-21,-13,0,5,1,-4.5
Andaman and Nicobar Islands,01 March,-2,-21,-13,0,5,1,-4.5
Andaman and Nicobar Islands,02 March,-2,-17,-2,-3,6,0,-4.0
Andaman and Nicobar Islands,03 March,-12,-18,-6,-6,4,2,-8.0
Andaman and Nicobar Islands,04 March,-7,-14,-2,-1,4,2,-4.5
Andaman and Nicobar Islands,05 March,-6,-20,0,0,3,1,-5.75
Andaman and Nicobar Islands,06 March,-7,-25,-4,0,3,2,-7.25
Andaman and Nicobar Islands,07 March,-7,-25,-4,0,3,2,-7.25
Andaman and Nicobar Islands,08 March,-7,-25,-4,0,3,2,-7.25
Andaman and Nicobar Islands,09 March,-8,-17,0,-3,-6,2,-8.5
Andaman and Nicobar Islands,10 March,-36,-38,-12,-19,-56,13,-37.25
Andaman and Nicobar Islands,11 March,-14,-16,-8,-1,0,0,-7.75
Andaman and Nicobar Islands,12 March,-9,-12,-7,-2,1,2,-5.5
Andaman and Nicobar Islands,13 March,-10,-19,-10,-3,4,2,-7.0
Andaman and Nicobar Islands,14 March,-10,-19,-10,-3,4,2,-7.0
Andaman and Nicobar Islands,15 March,-10,-19,-10,-3,4,2,-7.0
Andaman and Nicobar Islands,16 March,-18,-11,-10,-7,-1,2,-9.25
Andaman and Nicobar Islands,17 March,-24,-20,-25,-13,-4,4,-15.25
Andaman and Nicobar Islands,18 March,-21,-20,-31,-14,-9,1,-16.0
Andaman and Nicobar Islands,19 March,-16,-4,-21,-14,-7,1,-10.25
Andaman and Nicobar Islands,20 March,-50,-43,-50,-31,-29,12,-38.25
Andaman and Nicobar Islands,21 March,-50,-43,-50,-31,-29,12,-38.25
Andaman and Nicobar Islands,22 March,-50,-43,-50,-31,-29,12,-38.25
Andaman and Nicobar Islands,23 March,-61,-43,-60,-45,-44,21,-48.25
Andaman and Nicobar Islands,24 March,-67,-48,-62,-46,-52,23,-53.25
Andaman and Nicobar Islands,25 March,-80,-76,-68,-64,-63,,-70.75
Andaman and Nicobar Islands,26 March,-80,-80,-65,-63,-66,,-72.25
Andaman and Nicobar Islands,27 March,-78,-79,-70,-66,-63,,-71.5
Andaman and Nicobar Islands,28 March,-78,-79,-70,-66,-63,,-71.5
Andaman and Nicobar Islands,29 March,-78,-79,-70,-66,-63,,-71.5
Andaman and Nicobar Islands,30 March,-69,-60,-62,-61,-56,29,-61.5
Andaman and Nicobar Islands,31 March,-72,-64,-64,-60,-56,29,-63.0
Andaman and Nicobar Islands,01 April,-75,-65,-67,-63,-58,,-65.25
Andaman and Nicobar Islands,02 April,-74,-67,-67,-64,-57,,-65.5
Andaman and Nicobar Islands,03 April,-76,-70,-65,-64,-57,,-66.75
Andaman and Nicobar Islands,04 April,-76,-70,-65,-64,-57,,-66.75
Andaman and Nicobar Islands,05 April,-76,-70,-65,-64,-57,,-66.75
Andaman and Nicobar Islands,06 April,-75,,-67,-67,-56,31,
Andaman and Nicobar Islands,07 April,-81,,-71,-77,-56,31,
Andaman and Nicobar Islands,08 April,-83,,-72,-78,-54,29,
Andaman and Nicobar Islands,09 April,-82,,-71,-77,-55,29,
Andaman and Nicobar Islands,10 April,-83,,-70,-78,-62,,
Andaman and Nicobar Islands,11 April,-83,,-70,-78,-62,,
Andaman and Nicobar Islands,12 April,-83,,-70,-78,-62,,
Andaman and Nicobar Islands,13 April,-80,,-70,-77,-50,28,
Andaman and Nicobar Islands,14 April,-83,,-72,-77,-62,,
Andaman and Nicobar Islands,15 April,-82,,-69,-75,-51,27,
Andaman and Nicobar Islands,16 April,-87,,-69,-79,-52,29,
Andaman and Nicobar Islands,17 April,-86,,-70,-80,-49,31,
Andaman and Nicobar Islands,18 April,-86,,-70,-80,-49,31,
Andaman and Nicobar Islands,19 April,-86,,-70,-80,-49,31,
Andaman and Nicobar Islands,20 April,-86,,-72,-80,-49,29,
Andaman and Nicobar Islands,21 April,-88,,-71,-82,-52,30,
Andaman and Nicobar Islands,22 April,-88,,-73,-81,-51,29,
Andaman and Nicobar Islands,23 April,-88,,-71,-82,-52,30,
Andaman and Nicobar Islands,24 April,-88,,-73,-82,-50,30,
Andaman and Nicobar Islands,25 April,-88,,-73,-82,-50,30,
Andaman and Nicobar Islands,26 April,-88,,-73,-82,-50,30,
Andaman and Nicobar Islands,27 April,-87,,-75,-81,-49,30,
Andaman and Nicobar Islands,28 April,-88,,-71,-81,-50,29,
Andaman and Nicobar Islands,29 April,-91,,-72,-81,-54,32,
Andaman and Nicobar Islands,30 April,-86,,-70,-80,-48,30,
Andaman and Nicobar Islands,01 May,-88,,-74,-82,-51,31,
Andaman and Nicobar Islands,02 May,-88,,-74,-82,-51,31,
Andaman and Nicobar Islands,03 May,-88,,-74,-82,-51,31,
Andaman and Nicobar Islands,04 May,-85,,-71,-80,-41,27,
Andaman and Nicobar Islands,05 May,-85,,-70,-79,-43,27,
Andaman and Nicobar Islands,06 May,-89,,-68,-81,-46,30,
Andaman and Nicobar Islands,07 May,-84,,-69,-77,-52,29,
Andaman and Nicobar Islands,08 May,-83,,-69,-74,-35,25,
Andaman and Nicobar Islands,09 May,-83,,-69,-74,-35,25,
Andaman and Nicobar Islands,10 May,-83,,-69,-74,-35,25,
Andaman and Nicobar Islands,11 May,-82,,-74,-77,-36,25,
Andaman and Nicobar Islands,12 May,-84,,-76,-77,-40,25,
Andaman and Nicobar Islands,13 May,-86,,-74,-74,-37,23,
Andaman and Nicobar Islands,14 May,-86,,-69,-70,-37,22,
Andaman and Nicobar Islands,15 May,-83,,-69,-68,-31,24,
Andaman and Nicobar Islands,16 May,-83,,-69,-68,-31,24,
Andaman and Nicobar Islands,17 May,-83,,-69,-68,-31,24,
Andaman and Nicobar Islands,18 May,-79,,-70,-62,-26,22,
Andaman and Nicobar Islands,19 May,-80,,-70,-61,-28,20,
Andaman and Nicobar Islands,20 May,-81,,-78,-50,-35,12,
Andaman and Nicobar Islands,21 May,-82,,-74,-55,-46,5,
Andaman and Nicobar Islands,22 May,-81,,-76,-51,-35,14,
Andaman and Nicobar Islands,23 May,-81,,-76,-51,-35,14,
Andaman and Nicobar Islands,24 May,-81,,-76,-51,-35,14,
Andaman and Nicobar Islands,25 May,-78,,-68,-45,-51,17,
Andaman and Nicobar Islands,26 May,-77,,-68,-33,-24,9,
Andaman and Nicobar Islands,27 May,-77,,-68,-35,-28,6,
Andaman and Nicobar Islands,28 May,-76,,-70,-32,-22,13,
Andaman and Nicobar Islands,29 May,-76,,-67,-40,-21,16,
Andaman and Nicobar Islands,30 May,-76,,-67,-40,-21,16,
Andaman and Nicobar Islands,31 May,-76,,-67,-40,-21,16,
Andaman and Nicobar Islands,01 June,-68,,-63,-24,-11,13,
