state,dates,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50
India,06 February,1.17201139778173,0.605152628698175,0.29273183473493397,2.5960433682907404,0.733643686927357,1.5112513874020501
India,07 February,1.07608257249899,0.5577145627659711,0.271364438269384,2.4050452687528,0.669681503064953,1.37997124666807
India,08 February,1.1038435636852,0.577271499300395,0.28221445686507696,2.48645326287755,0.6828932788205438,1.4155794175470302
India,09 February,0.851765777460919,0.5225605684432321,0.157935647680302,2.14190144471387,0.467537184390589,1.1287108765101699
India,10 February,0.579830423402226,0.45113495348019605,0.0512076981055392,1.75485830294959,0.250032595502688,0.783959190002721
India,11 February,0.6542568578837851,0.509123966231872,0.0598596964499028,1.97595107010292,0.280307500365244,0.890903906184422
India,12 February,0.8054630942876171,0.6376219701043739,0.0735844714228375,2.47899203404631,0.35123477641155804,1.07636079751027
India,13 February,1.0907460022672,0.8668213382920771,0.0943599605288774,3.35116135904078,0.46776518015273705,1.47442198126748
India,14 February,1.5230996803858,1.22758520905971,0.130487089790166,4.60548246982787,0.651601998747624,2.0620221196341
India,15 February,1.9236907321465502,1.54991554917228,0.171314572182731,5.99243138807585,0.818767954501777,2.59646753426484
India,16 February,2.26558767413784,1.74481763701952,0.207068950439469,6.70706018860008,0.9878324928538109,3.0658387982644904
India,17 February,2.43134676360846,1.85431044348266,0.230996217061177,7.22685854297109,1.05472680118896,3.3335917064283196
India,18 February,2.5192967537214304,1.94223017347056,0.227019874351619,7.441922298626161,1.11539657187494,3.4286148590924705
India,19 February,2.55193289401513,1.95031178894218,0.23487593738191,7.40068161395605,1.1240158511344098,3.48309234017506
India,20 February,2.58810395674891,1.9909834418663002,0.236967044283079,7.8064621436913395,1.1407023755863,3.49167568078519
India,21 February,2.59058379334896,1.9962310299113,0.229171525854178,7.769435926464701,1.11764638408627,3.55522114813909
India,22 February,2.60017566845474,2.01090255479573,0.239404469351749,7.658845039050799,1.14101358239002,3.52031760829499
India,23 February,2.5889426855736097,1.9677991029878,0.242614448359594,7.68806784959324,1.14482660873878,3.5043013885299503
India,24 February,2.61358783122007,2.02228095502271,0.23279637700626898,7.82486044010468,1.1395727047138,3.53477078274862
India,25 February,2.5950936475062902,1.9946394186115302,0.25771678314927204,7.67958142815644,1.1365672435328502,3.5181560710565094
India,26 February,2.60324235573814,1.99673756618864,0.23999180985764001,7.63154394745584,1.13562775176693,3.5460483064778296
India,27 February,2.60304803293565,2.01710050228191,0.244094395810607,7.736265935362459,1.1561154812555001,3.5311669953183995
India,28 February,2.5517699902251603,1.95997589654526,0.244975450448193,7.5527193957315895,1.10138725312574,3.50418488002474
India,29 February,2.5966551956386,1.99260870365634,0.242427559813933,7.7204224555741,1.1357948710572199,3.54056154776967
India,01 March,5.656281382203651,2.92601985934794,1.48686942825647,12.8375511610717,3.5232952920244403,7.24562151684098
India,02 March,6.738719264315799,3.2303416653620203,2.00381340946527,14.515476281273699,4.37359924729898,8.531642692183711
India,03 March,28.327828236972,8.99642059448987,13.9931555689557,48.331773577231395,21.5463922214134,33.9637703083574
India,04 March,16.087614517843598,7.93237391015162,4.71477504234636,35.1170554684338,10.1187721222333,20.6004452707203
India,05 March,6.3822628721177495,3.96549874094437,2.13007377045109,17.1286607961436,3.52252072743289,7.92235964776309
India,06 March,2.9051549390288502,1.2587581357056399,1.46368327147429,6.400024187540191,2.06153022354501,3.3610307317893704
India,07 March,1.99929178951851,0.4512693621620129,1.26981252989436,3.0524133599817995,1.67544608020003,2.25996597427241
India,08 March,1.9123189316823601,0.321194613522055,1.3458082542137502,2.60912293688973,1.6844552092865,2.11326012015271
India,09 March,2.0819785201227097,0.292550378943704,1.5478270557273999,2.69312197715565,1.87527127688879,2.27285423901155
India,10 March,2.00114148019761,0.28240598658960403,1.49363119983701,2.5982439771246697,1.80025578415904,2.18567380281839
