state,dates,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50
Anantapur,11 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,12 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,13 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,14 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,15 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,16 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,17 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,18 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,19 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,20 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,21 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,22 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,23 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,24 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,25 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,26 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,27 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,28 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,29 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,30 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,01 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,02 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,03 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,04 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,05 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,06 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,07 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,08 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,09 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,10 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,11 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,12 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,13 May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
