state,dates,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50
Varanasi,2020-09-15,1.06799535879653,0.0278661719469048,1.01435957817,1.12390244699534,1.04876996501779,1.0865876347171999
Varanasi,2020-09-16,1.0741597007587098,0.0276922950560163,1.02166833168961,1.1294251623495801,1.05518850215829,1.0926941664560499
Varanasi,2020-09-17,1.0979881808109802,0.0275325000875109,1.04447765936918,1.15213068004414,1.0791043231748199,1.11631423163788
Varanasi,2020-09-18,1.02132651699298,0.0265459157305411,0.968913760102251,1.07350176271232,1.00348452967977,1.03935905173521
Varanasi,2020-09-19,0.9604054911058021,0.0255162646204186,0.911050849443729,1.01119744535963,0.9430496175362109,0.977398847025517
Varanasi,2020-09-20,0.92665034811582,0.0245290885217519,0.878833782659826,0.9747668736504058,0.9100076183698671,0.943080485447951
Varanasi,2020-09-21,0.959111099403664,0.0264503746472343,0.9083468790856709,1.01233111229321,0.941001025922445,0.9765549384255341
Varanasi,2020-09-22,1.0252430787171,0.028013850587573996,0.969425269509673,1.07950915585839,1.0066531584637,1.04421618842563
Varanasi,2020-09-23,0.9692652717053799,0.0257527622305462,0.918698681941032,1.02006457735329,0.951817793457723,0.9865665565469101
Varanasi,2020-09-24,0.977256600311108,0.0252873791661616,0.928918510197639,1.02729245210972,0.9599720417085141,0.9943787011766579
Varanasi,2020-09-25,0.931958906411386,0.0246497025392667,0.8835475779987109,0.979918347505818,0.9150980370131371,0.9484637771420691
Varanasi,2020-09-26,0.944711417350567,0.0246985824275063,0.8967114251160749,0.9931904339629839,0.928155585852961,0.9617258280116371
Varanasi,2020-09-27,0.939715524829794,0.0259058584062861,0.8893597657092959,0.9911280172945791,0.9221370956798309,0.9572470749392771
Varanasi,2020-09-28,0.993508476217425,0.0265958700863959,0.9415665196622929,1.0461041596801801,0.9754713424653292,1.01119441389183
Varanasi,2020-09-29,1.02417452603301,0.0267942740694807,0.9717327634294408,1.0769052080097,1.00630912089728,1.04226499138172
Varanasi,2020-09-30,0.975705717571965,0.0261791367401167,0.924961816395746,1.02716104783448,0.9577540400981159,0.9933167024457759
Varanasi,2020-10-01,1.03199752883035,0.0267167502207899,0.980096173965496,1.0849006401472099,1.01368526966202,1.04998234692303
Varanasi,2020-10-02,0.9590568842392171,0.0252084883977308,0.910421834148158,1.0093760039488002,0.9418739368961879,0.976009226198058
Varanasi,2020-10-03,0.9837174957980479,0.0256750193769035,0.934152883914111,1.03391730255007,0.9662892167057081,1.0009312216125
Varanasi,2020-10-04,0.946310495386112,0.0252297808119093,0.897575537840005,0.995780305128031,0.9292209692706791,0.962943641592093
Varanasi,2020-10-05,0.9568321764967901,0.0257316899472597,0.9077299737283079,1.00850061771092,0.9391294098842031,0.974320171311444
Varanasi,2020-10-06,0.894775562978097,0.0249498372572249,0.8471981857890999,0.944526944823817,0.877207052435251,0.9116865789899871
Varanasi,2020-10-07,0.83580206296701,0.0246496179849832,0.7878606198229009,0.884892448172438,0.8188555902986121,0.85240512874653
Varanasi,2020-10-08,0.8088939146803421,0.0266470082260931,0.757825200989075,0.8621627067626301,0.7905889249144009,0.826707902722038
Varanasi,2020-10-09,0.8106709595572099,0.0298399992509556,0.7539867814137259,0.871333242177065,0.790299730507655,0.830303594651567
Varanasi,2020-10-10,0.8883952715401999,0.034547896171749,0.820199161078486,0.9561038472405341,0.865458983738568,0.911547648600048
Varanasi,2020-10-11,0.813238418177245,0.0316211586633253,0.752075390196999,0.8761844861358079,0.7919850885217671,0.834558611657484
Varanasi,2020-10-12,0.999091973157652,0.0344743556540817,0.93241728580844,1.06843645112535,0.975394740111254,1.0219082720983
Varanasi,2020-10-13,0.981954781205173,0.0318874122095184,0.9209129940522229,1.04531439421761,0.9601991738178679,1.0035184151449001
Varanasi,2020-10-14,1.01841817058805,0.0327989402981684,0.954122605722959,1.08331279350364,0.9964104129805059,1.04041889845566
Prayagraj,2020-02-06,2.60386326474111,2.01089903033021,0.234535411587745,7.694525630731371,1.14304329403734,3.55648924743186
Prayagraj,2020-02-07,2.6076963484539397,2.0134036953421,0.231952245625212,7.728104182430981,1.1204100304701101,3.5589661186217403
Prayagraj,2020-02-08,2.6129520524788,2.01323140179066,0.23054656246871802,7.74847262978009,1.13921231509297,3.5536596835343395
Prayagraj,2020-02-09,2.6165648610635097,2.01777631993739,0.23473086402470303,7.70871163306825,1.12971885453955,3.54826582398123
Prayagraj,2020-02-10,2.59479699284537,1.98426566824097,0.241209502636833,7.750870559579071,1.11391756804723,3.5537994480532
Prayagraj,2020-02-11,2.5900841273427204,1.97275484978969,0.24483401659502105,7.6977914659082405,1.12872286784696,3.5386837162848503
Prayagraj,2020-02-12,2.5989951777019598,2.0349195203523402,0.234672814705579,7.915665445021241,1.11939247345266,3.53651867036606
Prayagraj,2020-02-13,2.5935984124588303,1.9871109068926,0.240568012304906,7.750804031421,1.13110893002317,3.52443322332742
Prayagraj,2020-02-14,2.60887569776708,1.98297185905979,0.265916987866575,7.705710694330209,1.1512688786224199,3.55804836651954
Prayagraj,2020-02-15,2.5952148628808502,2.00587624530495,0.23569758813664102,7.726537188062889,1.1215187641188202,3.52533529858126
Prayagraj,2020-02-16,2.62481015417002,2.0138881345535,0.239475642601373,7.67691725257073,1.1471613038923898,3.58523236019767
Prayagraj,2020-02-17,2.61409905567609,1.99699287191053,0.247848631360665,7.80563593373296,1.1507681776724,3.56078915467824
Prayagraj,2020-02-18,2.58689908692317,2.00342696746152,0.237305056993422,7.59515005503923,1.1123994336066898,3.5358636541324597
Prayagraj,2020-02-19,2.61303476390521,2.01937892221517,0.23978958387914803,7.77947376412436,1.12841969910486,3.5703394333823697
Prayagraj,2020-02-20,2.5867928093797703,1.97545937716086,0.233624290120888,7.66316267319529,1.141533471324,3.4999311192691405
Prayagraj,2020-02-21,2.6063216114515497,2.0266908490475903,0.24591427097860602,7.79504562400684,1.14222686815674,3.5293655594521898
