dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
20 July,Ludhiana,1926,3.709838970644888,1239,47,83,,69.28571428571429,5.204359673024523,,51916,14838.488952734113,117.18507725211855,,1223.3333333333333,2.2857142857142856
21 July,Ludhiana,1989,3.8311888435164496,1309,48,63,,67.0,4.177545691906006,,51916,14838.488952734113,108.32474214281203,,1340.5,2.0
22 July,Ludhiana,2059,3.966022035595963,1315,49,70,,68.28571428571429,3.8145100972326103,,51916,14838.488952734113,117.75671177529962,,1337.0,2.0
23 July,Ludhiana,2138,4.118190923799984,1315,49,79,,72.28571428571429,,,51916,14838.488952734113,125.18796057665348,,,1.6666666666666667
24 July,Ludhiana,2182,4.20294321596425,1514,50,44,,69.57142857142857,,,51916,14838.488952734113,136.33483377868427,,,1.5
25 July,Ludhiana,2327,4.48224054241467,1514,54,145,,80.0,,,51916,14838.488952734113,133.76247842436948,,,2.0
26 July,Ludhiana,2415,4.651745126743201,1696,59,88,,81.71428571428571,,,51916,14838.488952734113,152.62641768934463,,,2.1666666666666665
27 July,Ludhiana,2591,4.990754295400262,1751,64,176,,95.0,,,51916,14838.488952734113,157.4853111363837,,,2.8333333333333335
28 July,Ludhiana,2724,5.246937360351337,1751,70,133,,105.0,,,51916,14838.488952734113,174.06271230863462,,,3.6666666666666665
29 July,Ludhiana,2819,5.429925263887819,1919,79,95,,108.57142857142857,,,51916,14838.488952734113,162.34420458342277,,,5.0
30 July,Ludhiana,2962,5.7053702134216815,1919,83,143,,117.71428571428571,,,51916,14838.488952734113,145.76680341117185,,,4.857142857142857
31 July,Ludhiana,3211,6.184991139533092,1973,89,249,,147.0,,,51916,14838.488952734113,189.4968444345234,,,5.571428571428571
01 August,Ludhiana,3377,6.504738423607366,2125,99,166,,150.0,,,51916,14838.488952734113,269.8114949414632,,,6.428571428571429
02 August,Ludhiana,3524,6.787888126974343,2125,107,147,,158.42857142857142,,,51916,14838.488952734113,225.7956366565211,,,6.857142857142857
