state,dates,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50
Raipur,2020-09-06,1.15942265651654,0.0358046603908054,1.09343138348734,1.23087749540547,1.22006673491974,1.22006673491974
Raipur,2020-09-07,1.1729166414224699,0.0304400393677147,1.11778580577413,1.2356198464697,1.22546859825834,1.22546859825834
Raipur,2020-09-08,1.18166153125071,0.0243125454731202,1.13718450119285,1.23128080612553,1.2230009143194098,1.2230009143194098
Raipur,2020-09-09,1.1183882520926298,0.0216983661041725,1.07649531349601,1.1614774437774,1.15435443097297,1.15435443097297
Raipur,2020-09-10,1.11456840347296,0.0227030778204898,1.0719097925384,1.15942896795841,1.15260314933304,1.15260314933304
Ahmedabad,2020-02-06,2.60590131962207,1.9970569431495402,0.24528960196320299,7.751761607132599,6.5952458301885795,6.5952458301885795
Ahmedabad,2020-02-07,2.5800975988728796,2.0113771999901298,0.228806338389307,7.754632629241089,6.53563447119768,6.53563447119768
Ahmedabad,2020-02-08,2.59628105189323,1.99371296721726,0.241632944680274,7.7101519845622,6.40351891545743,6.40351891545743
Ahmedabad,2020-02-09,2.6059193668665697,2.01076243848274,0.24173885403701398,7.84156659853581,6.58430116578534,6.58430116578534
Ahmedabad,2020-02-10,2.6127708084667205,2.01771958855229,0.229536375654477,7.838357478905291,6.62515368636078,6.62515368636078
Ahmedabad,2020-02-11,2.6138446834801097,2.01005237833812,0.24108155507099902,7.7121671969207,6.6166264976370295,6.6166264976370295
Ahmedabad,2020-02-12,2.6174527357420696,2.03910103307951,0.22869966499231498,7.8895640538847,6.6207474472962105,6.6207474472962105
Ahmedabad,2020-02-13,2.60414227432126,1.99161450779489,0.22932834468923896,7.67025083527858,6.490342934680519,6.490342934680519
Ahmedabad,2020-02-14,2.5977172038624903,2.0072070136334603,0.24731254586031304,7.77247635148129,6.435395742051821,6.435395742051821
Ahmedabad,2020-02-15,2.6008032889271,1.98895424234741,0.239250168540642,7.741536881414841,6.44575167338482,6.44575167338482
Ahmedabad,2020-02-16,2.61423243057576,2.00668458639948,0.24148495120093902,7.7942812761957505,6.52396125489502,6.52396125489502
Ahmedabad,2020-02-17,2.64037114950848,2.02388566360143,0.23388929753647897,7.76656560075096,6.6098583044567505,6.6098583044567505
Ahmedabad,2020-02-18,2.58177034722361,2.0033001550916003,0.238722512876615,7.66908181711553,6.49649468422843,6.49649468422843
Ahmedabad,2020-02-19,2.5991121484594504,1.98620393016285,0.23372817363709802,7.77177654027713,6.52784592152256,6.52784592152256
Ahmedabad,2020-02-20,2.6182576318279303,1.9916532220173702,0.249987506643686,7.57616437547349,6.51810204825508,6.51810204825508
Ahmedabad,2020-02-21,2.59607841839779,1.96401393626668,0.24584456611269198,7.579748963582831,6.43190331797452,6.43190331797452
Ahmedabad,2020-02-22,2.59658727734091,1.99747562706584,0.233650183931707,7.8171706007492805,6.6039487316232695,6.6039487316232695
Ahmedabad,2020-02-23,2.61540235998116,2.00296391891792,0.22238280089624599,7.772622621991959,6.57320904853343,6.57320904853343
Ahmedabad,2020-02-24,2.56563083411778,1.98713757691638,0.23452848193453196,7.664276028248691,6.44672989463825,6.44672989463825
Ahmedabad,2020-02-25,2.6203781503291204,2.0128187699350404,0.23896294331480802,7.74382865994152,6.621372041362999,6.621372041362999
Ahmedabad,2020-02-26,2.6045860312300197,1.9932389670990902,0.24333071571976603,7.618100714391849,6.42382935246956,6.42382935246956
Ahmedabad,2020-02-27,2.59405197309305,2.0111362947165303,0.23664518918938102,7.7260061716663495,6.559282529056739,6.559282529056739
Ahmedabad,2020-02-28,2.60884992603822,1.99247442170035,0.242334434417727,7.702863832955639,6.50430021241861,6.50430021241861
Ahmedabad,2020-02-29,2.61457278060155,2.02263790612037,0.24812261953126002,7.98478324155632,6.64457070463372,6.64457070463372
Ahmedabad,2020-03-01,2.60125628016517,1.99802969229269,0.247928263606827,7.69448507492599,6.47589833265154,6.47589833265154
Ahmedabad,2020-03-02,2.59194745954471,1.97919963145773,0.24022532456869602,7.6220576822648205,6.42176744071492,6.42176744071492
Ahmedabad,2020-03-03,2.58597045933445,1.9695522590231398,0.230504508758226,7.71439687018155,6.463948543741031,6.463948543741031
Ahmedabad,2020-03-04,2.5648261654403304,1.96836545550663,0.221744378808382,7.52497375711396,6.414041060763861,6.414041060763861
Ahmedabad,2020-03-05,2.56358329222018,1.9503130519540501,0.228789014020948,7.60139942787292,6.4170464586527505,6.4170464586527505
Ahmedabad,2020-03-06,2.61914235493741,2.05317266504745,0.22900231173883498,7.96854970550683,6.65833645071503,6.65833645071503
Ahmedabad,2020-03-07,2.60717913871252,2.02069452854278,0.232784425064582,7.90008058884351,6.52350907645041,6.52350907645041
Ahmedabad,2020-03-08,2.6157779208462597,2.02053950103609,0.22758167238087199,7.704483582127139,6.513689004502679,6.513689004502679
Ahmedabad,2020-03-09,2.6302781304886698,2.02940865326038,0.249070397275015,7.82276247647022,6.549051428806091,6.549051428806091
Ahmedabad,2020-03-10,2.5700074744586403,1.96618420212506,0.23869531115504602,7.558371173205599,6.441868626494251,6.441868626494251
Ahmedabad,2020-03-11,2.6490004703660297,2.00999958791258,0.253280495415082,7.742809649307049,6.573788426242089,6.573788426242089
Ahmedabad,2020-03-12,2.6192386909759597,2.03704376919486,0.239358778585506,7.91053478486693,6.615254653849799,6.615254653849799
Ahmedabad,2020-03-13,2.5701629481654797,1.99164092032571,0.227610063161752,7.765313567914809,6.46334932933295,6.46334932933295
Ahmedabad,2020-03-14,2.59482255137602,2.0126140875461,0.238164122481967,7.72794099258582,6.53473473402081,6.53473473402081
Ahmedabad,2020-03-15,2.6004697772513596,1.9920272045605099,0.23953223200418397,7.657944764577629,6.535196525377669,6.535196525377669
Ahmedabad,2020-03-16,2.5976818154446204,2.00216156064824,0.23825986550463896,7.84675071530063,6.48714300102806,6.48714300102806
Ahmedabad,2020-03-17,2.5966619257802597,1.9970451712561899,0.23268067650876,7.75799188326203,6.48203450120554,6.48203450120554
Ahmedabad,2020-03-18,2.5985386649209703,2.01346167112305,0.23793253192176503,7.654190876958361,6.49033806048104,6.49033806048104
Ahmedabad,2020-03-19,2.60967176421021,2.01563902416475,0.21631573781930602,7.801315381613129,6.49025130405413,6.49025130405413
Ahmedabad,2020-03-20,2.6146620752806697,2.0314333263796,0.23591953061586898,7.77921315334252,6.5551677482287,6.5551677482287
Ahmedabad,2020-03-21,2.55686466614239,1.9932145376638701,0.23189292244472798,7.64376615285664,6.39527129054617,6.39527129054617
Ahmedabad,2020-03-22,2.632709219008,2.0379940893263604,0.22729955195513,7.9507027182706,6.70295831489585,6.70295831489585
Ahmedabad,2020-03-23,2.61382214130963,2.0066603551493203,0.24717266680290803,7.754778246712481,6.488337952167389,6.488337952167389
Ahmedabad,2020-03-24,2.62512121871278,2.01438759683051,0.231586796787906,7.804914161654549,6.625962546622231,6.625962546622231
Ahmedabad,2020-03-25,2.58655081079252,2.01201514494036,0.22543930262346598,7.783046984220481,6.487409257067339,6.487409257067339
Ahmedabad,2020-03-26,2.56964741842615,1.9605073266102702,0.24481684422740002,7.61376029306859,6.4486916199841495,6.4486916199841495
Ahmedabad,2020-03-27,2.5887294702437202,1.9762355737155,0.242756184861564,7.68454558820953,6.44979581740989,6.44979581740989
Ahmedabad,2020-03-28,2.5903797118007,2.00821297093147,0.23655905088854504,7.792614760860441,6.533517603316589,6.533517603316589
Ahmedabad,2020-03-29,2.58425486434863,1.9705585552603502,0.22614944795366396,7.51902781360688,6.45363658831968,6.45363658831968
Ahmedabad,2020-03-30,2.57116754033384,1.9986043149073798,0.241941950600788,7.74032608064354,6.40920069079661,6.40920069079661
Ahmedabad,2020-03-31,2.61008895325154,1.986660242746,0.24358390619313397,7.6467568593505195,6.4398226953675,6.4398226953675
Ahmedabad,2020-04-01,2.61675744089521,1.98764379081969,0.24179537566751302,7.737254975720679,6.54867630564726,6.54867630564726
Ahmedabad,2020-04-02,2.60880559031356,1.9777478293305701,0.245637303595867,7.60427944709305,6.394742199403759,6.394742199403759
Ahmedabad,2020-04-03,2.57472801423555,2.00807203509703,0.22864883319464102,7.75648891628677,6.456165898483451,6.456165898483451
Ahmedabad,2020-04-04,2.5770818521903798,1.9846356931556999,0.23641079216154798,7.64041279195217,6.46110757841393,6.46110757841393
Ahmedabad,2020-04-05,2.59906399916325,1.9759036855841599,0.242516340005369,7.578068878736629,6.465170261435009,6.465170261435009
Ahmedabad,2020-04-06,2.62461734755132,2.0170993741447902,0.24514371405253696,7.78726850055307,6.652859995080759,6.652859995080759
Ahmedabad,2020-04-07,2.56609945668336,1.96024107825795,0.231442551525395,7.63002631671145,6.484350280651599,6.484350280651599
Ahmedabad,2020-04-08,2.61967253636141,2.0216456481513,0.239162855222651,7.8728771724553,6.56457784162678,6.56457784162678
Ahmedabad,2020-04-09,2.57912877702507,1.9727533355428402,0.22139184477073998,7.616492979687309,6.45623590049397,6.45623590049397
Ahmedabad,2020-04-10,2.60307023425306,1.9967906220023999,0.24922335604065501,7.7090986491788,6.542571610834731,6.542571610834731
Ahmedabad,2020-04-11,2.62102928093821,2.00827769641299,0.24101027568668498,7.768555892572159,6.60916459647133,6.60916459647133
Ahmedabad,2020-04-12,2.55597018884906,1.9463724496742498,0.23935545732309804,7.645313936391901,6.42604656918885,6.42604656918885
Ahmedabad,2020-04-13,2.59564330983065,2.01662037361747,0.25335539305903,7.83716549992064,6.581547943705031,6.581547943705031
Ahmedabad,2020-04-14,2.58800583309393,1.9954277895753998,0.23832410314892102,7.63874141316283,6.50987868633456,6.50987868633456
Ahmedabad,2020-04-15,2.61502316038856,1.9941374635711597,0.236447951744445,7.678343829946541,6.52249350670837,6.52249350670837
Ahmedabad,2020-04-16,2.60619752344545,2.01361474441958,0.247311941230204,7.81423231322197,6.46605351309397,6.46605351309397
Ahmedabad,2020-04-17,2.60479814414559,2.0030634818846598,0.21524285767224396,7.72694730776819,6.506008740673269,6.506008740673269
Ahmedabad,2020-04-18,2.5890547203257595,2.00177691563864,0.236879971739036,7.743748641506599,6.57540662378811,6.57540662378811
Ahmedabad,2020-04-19,2.57664083564757,1.99100143015272,0.24131891555214396,7.750631024467701,6.443029774181791,6.443029774181791
Ahmedabad,2020-04-20,2.6005708164979704,2.0161657702794002,0.232509620446265,7.73323884637564,6.548441546669871,6.548441546669871
Ahmedabad,2020-04-21,2.58729735680531,1.95875653632382,0.247474420635767,7.47290788948321,6.40515576605648,6.40515576605648
Ahmedabad,2020-04-22,2.59125726397593,2.01079829885795,0.227388990321107,7.8600151710059905,6.55110101080667,6.55110101080667
Ahmedabad,2020-04-23,2.5836853147757797,1.98740375525227,0.24311468478399698,7.735525733482441,6.42637913252789,6.42637913252789
Ahmedabad,2020-04-24,2.63330521542588,2.0197554795398402,0.235674330862513,7.80025896210417,6.59327055919404,6.59327055919404
Ahmedabad,2020-04-25,2.61642036067409,2.01092350129228,0.24204303989946302,7.72424193972026,6.56654251860491,6.56654251860491
Ahmedabad,2020-04-26,307.299927105797,21.9647803690934,265.498316611773,351.89660787029,344.262024457316,344.262024457316
Ahmedabad,2020-04-27,188.25752751772598,176.79837794192198,10.4890878820559,569.962183107163,550.28990841374,550.28990841374
Ahmedabad,2020-04-28,37.8124086582893,60.879935169567204,5.00377116722934,267.765709817266,178.544461237138,178.544461237138
Ahmedabad,2020-04-29,8.93465590714404,5.24944107859721,3.43623609716699,26.9982251158426,21.6057268060977,21.6057268060977
