state,dates,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50
Chittoor,25 May,0.7407407407407408,1.1764705882352942,0.8403361344537815,0.8403361344537815,0.8403361344537815,0.8403361344537815,0.8403361344537815
Chittoor,26 May,0.7407407407407408,1.1764705882352942,0.7874015748031495,0.7874015748031495,0.7874015748031495,0.7874015748031495,0.7874015748031495
Chittoor,27 May,0.6211180124223602,0.7194244604316548,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7575757575757576
Chittoor,28 May,0.6060606060606061,0.684931506849315,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408
Chittoor,29 May,0.5780346820809248,0.6134969325153374,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408
Chittoor,30 May,0.5555555555555556,0.5952380952380952,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408
Chittoor,31 May,1.0869565217391304,1.1363636363636365,1.4814814814814816,1.4814814814814816,1.4814814814814816,1.4814814814814816,1.4814814814814816
Chittoor,01 June,1.0582010582010581,1.1111111111111112,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286
Chittoor,02 June,1.0471204188481675,1.092896174863388,1.3513513513513513,1.3513513513513513,1.3513513513513513,1.3513513513513513,1.3513513513513513
Chittoor,03 June,2.0100502512562812,2.1164021164021163,2.484472049689441,2.484472049689441,2.484472049689441,2.484472049689441,2.484472049689441
Chittoor,04 June,1.9230769230769231,2.0202020202020203,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381
Chittoor,05 June,1.8867924528301887,2.0,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856
Chittoor,06 June,1.7777777777777777,1.9900497512437811,2.209944751381215,2.209944751381215,2.209944751381215,2.209944751381215,2.209944751381215
Chittoor,07 June,1.7699115044247788,1.9607843137254901,2.13903743315508,2.13903743315508,2.13903743315508,2.13903743315508,2.13903743315508
Chittoor,08 June,1.7391304347826086,1.9607843137254901,2.1164021164021163,2.1164021164021163,2.1164021164021163,2.1164021164021163,2.1164021164021163
Chittoor,09 June,1.7391304347826086,1.9607843137254901,2.0202020202020203,2.0202020202020203,2.0202020202020203,2.0202020202020203,2.0202020202020203
Chittoor,10 June,1.574803149606299,1.8867924528301887,1.9704433497536946,1.9704433497536946,1.9704433497536946,1.9704433497536946,1.9704433497536946
Chittoor,11 June,1.550387596899225,1.8691588785046727,1.8691588785046727,1.8691588785046727,1.8691588785046727,1.8691588785046727,1.8691588785046727
Chittoor,12 June,1.4705882352941175,1.7937219730941705,1.8433179723502304,1.8433179723502304,1.8433179723502304,1.8433179723502304,1.8433179723502304
Chittoor,13 June,1.444043321299639,1.7937219730941705,1.82648401826484,1.82648401826484,1.82648401826484,1.82648401826484,1.82648401826484
Chittoor,14 June,1.4285714285714286,1.7699115044247788,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806
Chittoor,15 June,1.3986013986013985,1.7543859649122806,1.702127659574468,1.702127659574468,1.702127659574468,1.702127659574468,1.702127659574468
Chittoor,16 June,1.7241379310344827,2.1551724137931036,2.0491803278688523,2.0491803278688523,2.0491803278688523,2.0491803278688523,2.0491803278688523
Chittoor,17 June,1.5873015873015872,2.0408163265306123,1.937984496124031,1.937984496124031,1.937984496124031,1.937984496124031,1.937984496124031
Chittoor,18 June,1.5015015015015014,2.0080321285140563,1.858736059479554,1.858736059479554,1.858736059479554,1.858736059479554,1.858736059479554
Chittoor,19 June,1.278772378516624,1.968503937007874,1.8382352941176472,1.8382352941176472,1.8382352941176472,1.8382352941176472,1.8382352941176472
Chittoor,20 June,1.1312217194570136,1.9230769230769231,1.8050541516245486,1.8050541516245486,1.8050541516245486,1.8050541516245486,1.8050541516245486
Chittoor,21 June,1.2269938650306749,2.2641509433962264,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367
Chittoor,22 June,1.1583011583011582,2.2641509433962264,2.0338983050847457,2.0338983050847457,2.0338983050847457,2.0338983050847457,2.0338983050847457
Chittoor,23 June,1.1029411764705883,2.2388059701492535,1.9169329073482428,1.9169329073482428,1.9169329073482428,1.9169329073482428,1.9169329073482428
Chittoor,24 June,1.0273972602739725,2.166064981949458,1.7595307917888565,1.7595307917888565,1.7595307917888565,1.7595307917888565,1.7595307917888565
Chittoor,25 June,0.9584664536741214,2.127659574468085,1.6042780748663104,1.6042780748663104,1.6042780748663104,1.6042780748663104,1.6042780748663104
Chittoor,26 June,0.9202453987730062,2.1201413427561837,1.4354066985645932,1.4354066985645932,1.4354066985645932,1.4354066985645932,1.4354066985645932
Chittoor,27 June,0.8152173913043478,1.9801980198019802,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335
Chittoor,28 June,0.7334963325183375,1.8292682926829267,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386,1.2024048096192386
Chittoor,29 June,0.6864988558352403,1.812688821752266,1.1214953271028036,1.1214953271028036,1.1214953271028036,1.1214953271028036,1.1214953271028036
Chittoor,30 June,0.6116207951070336,1.6574585635359116,1.0452961672473868,1.0452961672473868,1.0452961672473868,1.0452961672473868,1.0452961672473868
Chittoor,01 July,0.5905511811023622,1.530612244897959,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579
Chittoor,02 July,0.5644402634054563,1.4851485148514851,0.9104704097116844,0.9104704097116844,0.9104704097116844,0.9104704097116844,0.9104704097116844
Chittoor,03 July,0.7207207207207207,1.9704433497536946,1.103448275862069,1.103448275862069,1.103448275862069,1.103448275862069,1.103448275862069
Chittoor,04 July,0.8496176720475787,2.1739130434782608,1.277139208173691,1.277139208173691,1.277139208173691,1.277139208173691,1.277139208173691
Chittoor,05 July,0.9592326139088728,2.5974025974025974,1.4134275618374559,1.4134275618374559,1.4134275618374559,1.4134275618374559,1.4134275618374559
Chittoor,06 July,0.9482129832239241,2.264808362369338,1.4099783080260302,1.4099783080260302,1.4099783080260302,1.4099783080260302,1.4099783080260302
Chittoor,07 July,1.0438413361169103,2.043596730245232,1.544799176107106,1.544799176107106,1.544799176107106,1.544799176107106,1.544799176107106
