state,dates,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50
India,30 January,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,31 January,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,01 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,02 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,03 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,04 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,05 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,06 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,07 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,08 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,09 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,10 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,11 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,12 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,13 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,14 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,15 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,16 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,17 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,18 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,19 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,20 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,21 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,22 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,23 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,24 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,25 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,26 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,27 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,28 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,29 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,01 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,02 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,03 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,04 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,05 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,06 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,07 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,08 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,09 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,10 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,11 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,12 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,13 March,1.098901098901099,25.0,4.166666666666666,1.7533866995073892,18.416666666666636,3.3333333333333335,5.88235294117647
India,14 March,0.9803921568627451,25.0,3.3333333333333335,1.5498798076923077,14.285714285714285,2.8185328185328187,4.599567099567099
India,15 March,0.8928571428571428,25.0,2.941176470588235,1.4285714285714286,14.285714285714285,2.4390243902439024,3.884615384615385
India,16 March,0.7936507936507936,25.0,2.564102564102564,1.241883116883117,10.151515151515135,2.127659574468085,3.125
India,17 March,0.684931506849315,25.0,2.1980676328502415,1.1044876497921252,8.426573426573416,1.810064935064935,2.7777777777777777
India,18 March,0.5847953216374269,25.0,1.9230769230769231,0.9669634489222118,7.142857142857142,1.6129032258064515,2.4390243902439024
India,19 March,0.5050505050505051,25.0,1.6530054644808743,0.8693181818181819,5.555555555555555,1.3888888888888888,2.1392229417206288
India,20 March,0.390625,20.0,1.4185110663983904,0.7165465774575399,4.399999999999993,1.2087517934002872,1.7938311688311688
India,21 March,0.29940119760479045,20.0,1.2270400481782595,0.5848765432098766,3.6025641025640978,1.0416666666666665,1.544471153846154
India,22 March,0.24813895781637718,20.0,1.0309278350515463,0.4824019219107151,3.314393939393935,0.8695652173913043,1.3246799431009957
India,23 March,0.2012072434607646,20.0,0.8695652173913043,0.39082237295401995,2.7499999999999982,0.7142857142857143,1.1494252873563218
India,24 March,0.17513134851138354,14.285714285714285,0.7194244604316548,0.30963016330451487,2.190317987660178,0.591715976331361,0.9479317851959361
India,25 March,0.15220700152207,14.285714285714285,0.593477035784728,0.2553270734910709,1.8578296703296693,0.4890062821245003,0.7984901277584204
India,26 March,0.273972602739726,25.0,1.0025629428614502,0.4422398589065256,3.2343749999999982,0.8146740477567546,1.326710816777042
India,27 March,0.33975084937712347,27.27272727272727,1.2396694214876034,0.5791405199462125,4.197476525821596,1.0273972602739725,1.6783315548302054
India,28 March,0.2944062806673209,27.27272727272727,1.0471236080992181,0.509411723922765,3.645220588235292,0.8784829390491012,1.400285212812637
India,29 March,2.4582967515364356,22.04724409448819,8.22321890633086,4.090437491042033,28.0392156862745,6.982543640897755,10.959030511811024
India,30 March,3.092006033182504,22.52747252747253,10.314612288296498,5.125329184937312,35.710821176116674,8.737943785651305,14.053158687567668
India,31 March,2.874617737003058,22.705314009661837,10.11870000092698,4.933026322328424,35.396210407239806,8.580604952634204,13.65393796784149
India,01 April,2.8169014084507045,25.55066079295154,10.671798934275827,5.093376776976415,36.529900724866025,9.083939832662338,14.269782034548474
