state,dates,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50
India,06 February,1.16317204199128,0.609800838168982,0.294356507013753,2.6455279286635296,2.31240872566663,2.31240872566663
India,07 February,1.0981687516213399,0.568377399573987,0.285191113333451,2.47138887783549,2.16945406913212,2.16945406913212
India,08 February,1.10994805867328,0.575423157544906,0.281433377330809,2.49799922830895,2.19571797887437,2.19571797887437
India,09 February,0.852200462906403,0.519619972906291,0.153188227879077,2.11374635115402,1.83851932700078,1.83851932700078
India,10 February,0.5832278172422339,0.45167793418967406,0.053186644800998,1.7310917049116499,1.45094172343779,1.45094172343779
India,11 February,0.6665837428294351,0.511225230410147,0.0619153341452595,1.99398199660726,1.6572865985407599,1.6572865985407599
India,12 February,0.8209937708573491,0.641501995270289,0.0722307126011481,2.44056655793945,2.05997847474626,2.05997847474626
India,13 February,1.1058708882578798,0.880584092514112,0.0987467761563813,3.36235436121095,2.81060521960108,2.81060521960108
India,14 February,1.5092375957356798,1.18345042095483,0.13359073526482598,4.5027348943562195,3.8404110455721896,3.8404110455721896
India,15 February,1.94816618915779,1.5303738553181,0.18032099503012802,5.91148771992957,4.8869219333147,4.8869219333147
India,16 February,2.2287951797942402,1.72365147621097,0.19510033157180603,6.60638010739718,5.627695039937639,5.627695039937639
India,17 February,2.39624300604,1.869772681056,0.218717980699225,7.2051610807186695,6.00008040417124,6.00008040417124
India,18 February,2.49444750764629,1.9326740548212702,0.23053060057574998,7.48532478311116,6.3095790137495396,6.3095790137495396
India,19 February,2.5464467729893596,1.96423226787143,0.23411953160909899,7.539117289965731,6.378543023592219,6.378543023592219
India,20 February,2.5548921070456805,1.95511515092313,0.245917459601246,7.5400254718911395,6.33283856808852,6.33283856808852
India,21 February,2.5925428108568997,1.9983414353820101,0.23837792917391895,7.769575310908,6.50324532722184,6.50324532722184
India,22 February,2.6239944934828303,2.0214801627478702,0.23918578827118803,7.72784766816911,6.568847561212519,6.568847561212519
India,23 February,2.6136380066501403,2.0044412673626,0.235607582811277,7.81680167875801,6.580862650210309,6.580862650210309
India,24 February,2.57258819761758,1.9599049922341698,0.228004975893691,7.58800663609438,6.399702108795661,6.399702108795661
India,25 February,2.5976471802879,1.99027047910153,0.23092566487909,7.698024037221019,6.499975018465331,6.499975018465331
India,26 February,2.5864603406784,2.01147577530117,0.23565159298811303,7.747908221448441,6.46402337561529,6.46402337561529
India,27 February,2.59414393319677,2.01572439512847,0.231091464300442,7.6853875238621505,6.49583719750638,6.49583719750638
India,28 February,2.59515323653968,2.01312926880715,0.225408838224142,7.81699236573839,6.546417735964821,6.546417735964821
India,29 February,2.5704367552028797,1.96853252132473,0.23576284139183898,7.57280770813168,6.41526609981459,6.41526609981459
India,01 March,5.66406332110033,2.93298947154315,1.46286768435319,12.6218435207554,11.321137572172802,11.321137572172802
India,02 March,6.6085486735692,3.1485948330315696,1.9877053902039798,14.057274540592802,12.4754428757855,12.4754428757855
India,03 March,26.7347627076397,8.707990185840151,13.366212541946002,46.60354489599111,43.3836446632864,43.3836446632864
India,04 March,14.6020833857805,7.6954722954876695,4.46382956323066,34.0412560387837,29.994204524917198,29.994204524917198
India,05 March,5.734411774866741,3.7402787383221603,2.0353100019809,16.4345592545808,14.2651537073266,14.2651537073266
India,06 March,2.7416898776656495,1.1912648414457099,1.4467863260155,6.25398248448524,5.355495652679,5.355495652679
India,07 March,1.96048570660007,0.434149700704571,1.2691465908333401,2.98605689972395,2.77497401449478,2.77497401449478
India,08 March,1.90141192632063,0.315891990016796,1.35064351874112,2.57930600183295,2.45629885249389,2.45629885249389
India,09 March,2.07182961279811,0.29706484584061893,1.53111260882465,2.69816737816963,2.58916924063846,2.58916924063846
India,10 March,1.97154747993271,0.279471296504122,1.4710018038938701,2.5646102381730698,2.4535102783412204,2.4535102783412204
India,11 March,1.3545996423641797,0.215456039698767,0.9747137958379251,1.81949032763039,1.7323452049412098,1.7323452049412098
India,12 March,1.3064245422008998,0.188986061012353,0.975012827999605,1.7189771614286598,1.64279588045971,1.64279588045971
India,13 March,1.3574358640626398,0.169057616466465,1.04652792781266,1.71142794099553,1.64711814028164,1.64711814028164
India,14 March,1.39846885498101,0.161733587107093,1.09632012009605,1.73080032232127,1.67266002806292,1.67266002806292
India,15 March,1.46611045011391,0.15977622393060598,1.17070727725605,1.7992323980653302,1.7356193796361101,1.7356193796361101
India,16 March,1.51904323763405,0.16450549238417,1.2203485906474598,1.86265645300455,1.7996745711756204,1.7996745711756204
India,17 March,1.5114394132089999,0.160568135058432,1.22117982847243,1.8505878035284498,1.7862228654403898,1.7862228654403898
India,18 March,1.5957393078817002,0.15852941622296698,1.3054500431466698,1.92239487694649,1.86759403366857,1.86759403366857
India,19 March,1.9626699780172399,0.17363146973180402,1.64401261071899,2.3280069811870097,2.25769722118883,2.25769722118883
India,20 March,2.39614815783453,0.21127629276496301,2.00023070081866,2.82664533052136,2.75269041988747,2.75269041988747
India,21 March,2.4905413732977,0.272438140024232,1.9891002061371201,3.0431450488443197,2.9633877575609904,2.9633877575609904
India,22 March,2.52749197462841,0.325688979783953,1.9884282688471002,3.2461209931369197,3.1372043779944105,3.1372043779944105
India,23 March,2.26281001301452,0.292663635383255,1.7960133367593998,2.93341570513171,2.8351836108220803,2.8351836108220803
India,24 March,2.02205773393426,0.234919177643132,1.6496350618159,2.56231746384486,2.4778047898374997,2.4778047898374997
India,25 March,1.7724027578522,0.17604816117402103,1.4907921260046202,2.16521017902963,2.1083182000586,2.1083182000586
India,26 March,1.79868960184251,0.14696095773451,1.5565275339242,2.12574835473772,2.07356937118939,2.07356937118939
India,27 March,1.7107996728524,0.12022984677765901,1.49937212657215,1.97056811619528,1.92831749091647,1.92831749091647
India,28 March,1.55826315829438,0.107980696541391,1.3672690128533,1.78823953411868,1.7514416928542802,1.7514416928542802
India,29 March,1.5544339527816102,0.10227153586351401,1.38273230574306,1.77540507103226,1.7392593855092902,1.7392593855092902
India,30 March,1.69196302729269,0.0951782229634359,1.5276050735459,1.89628586298302,1.86384954644114,1.86384954644114
India,31 March,1.96546708807276,0.106350046813714,1.7709979053411697,2.18318727724194,2.15304248895497,2.15304248895497
India,01 April,2.1765082928133204,0.15017973337201698,1.88803002693426,2.47014096962153,2.43413718973681,2.43413718973681
India,02 April,2.29698342036917,0.210198704188566,1.9182538361937698,2.7354839645955598,2.68063511878083,2.68063511878083
India,03 April,2.1931670575736,0.228828879117913,1.8066274376061398,2.70640620128011,2.6379678888754103,2.6379678888754103
India,04 April,2.04710219200098,0.210376409247927,1.7089261054213403,2.52860016751825,2.46275249593573,2.46275249593573
India,05 April,1.83597549523323,0.16858620677610503,1.56944318486828,2.22884416896853,2.17451207051476,2.17451207051476
India,06 April,1.6770606645814299,0.130476568256359,1.4728584532356999,1.97330196039523,1.93720121705026,1.93720121705026
India,07 April,1.51589182924585,0.0973997390976484,1.36143405228338,1.7324686349246299,1.7061353443927898,1.7061353443927898
India,08 April,1.44421935555591,0.0763586526453012,1.321550066911,1.6105733551158703,1.5904089829767298,1.5904089829767298
India,09 April,1.3983544387746498,0.0611017282888821,1.29682686470087,1.52922773305354,1.51220792981772,1.51220792981772
India,10 April,1.34584004410375,0.0512934183375306,1.25749810167023,1.4527019629456899,1.4381547125293201,1.4381547125293201
India,11 April,1.27711928043855,0.0457667610445529,1.19744494932181,1.3711059897382598,1.3582701323134598,1.3582701323134598
India,12 April,1.3180680836916698,0.0426914131381738,1.2450476300449098,1.4068654486548102,1.3946621311813798,1.3946621311813798
India,13 April,1.3404415854296101,0.0386311315512787,1.27205137279344,1.4201193318321699,1.4084699684777502,1.4084699684777502
India,14 April,1.3113172217367,0.0393205159444582,1.23956337172087,1.38991058321728,1.37892509087957,1.37892509087957
India,15 April,1.3057472074968999,0.0434658032100643,1.23020777847374,1.39429603471676,1.38412976789844,1.38412976789844
India,16 April,1.23108404472077,0.039805997221289004,1.16392866950242,1.31666821604637,1.30497344775052,1.30497344775052
India,17 April,1.22593558892398,0.0348972058070467,1.1666443026681799,1.29944028565185,1.29020067027199,1.29020067027199
India,18 April,1.26042767559482,0.0307106935889257,1.20766939242276,1.32482332648999,1.31530526548454,1.31530526548454
India,19 April,1.2607466377187702,0.0286137826331882,1.2078762207995601,1.31839094972283,1.31037357528153,1.31037357528153
India,20 April,1.23053956061722,0.0315848996040173,1.1725225151035399,1.29340904026003,1.28474953543266,1.28474953543266
India,21 April,1.19147883901688,0.0322218061276045,1.13631439756098,1.25898343862077,1.2498636022031298,1.2498636022031298
India,22 April,1.21593708443573,0.029031253188108997,1.1661512314428402,1.2780752357969398,1.2692146623648,1.2692146623648
India,23 April,1.1959482038801799,0.0247300265479533,1.15166570267729,1.246595138194,1.2398316533829299,1.2398316533829299
India,24 April,1.2364304640313102,0.025331492316955,1.18993259408572,1.2869228860777,1.27968409767689,1.27968409767689
India,25 April,1.20195511700882,0.0266254895565965,1.15369380875625,1.25591210690033,1.24894182024513,1.24894182024513
India,26 April,1.1412176033896202,0.0265153751759254,1.09434954700968,1.1959001340208701,1.18885332698195,1.18885332698195
India,27 April,1.1467678815375602,0.0242581810334654,1.10531273137892,1.19855863569539,1.19117313289956,1.19117313289956
India,28 April,1.11705131656134,0.0191395112485114,1.08258061550818,1.15614776721405,1.1503979407838998,1.1503979407838998
India,29 April,1.1241130030066002,0.016385698163773,1.09400459100316,1.15757692203067,1.15268268226615,1.15268268226615
India,30 April,1.15114469449214,0.0162011516281225,1.1210401437083302,1.1833800568538602,1.17830115866247,1.17830115866247
India,01 May,1.20773552301103,0.0178040549977962,1.17428512366834,1.2433437257548101,1.2379324214739198,1.2379324214739198
India,02 May,1.25038642901841,0.0224696349768619,1.20677382083293,1.2938985546496398,1.28780217195073,1.28780217195073
India,03 May,1.3424835748426798,0.0314468502166742,1.28279238408056,1.4042891571873901,1.39733489585666,1.39733489585666
India,04 May,1.36160671736009,0.0400190131431741,1.28512433409299,1.4419489946089,1.4325672738797801,1.4325672738797801
India,05 May,1.37410324987083,0.0482111856993522,1.2866103365468702,1.47314981910001,1.4620975567267,1.4620975567267
India,06 May,1.3627615584352402,0.0503884288840848,1.27679856352733,1.47120160586213,1.45917222326162,1.45917222326162
India,07 May,1.33638600650555,0.0475409973190088,1.25622770843971,1.43874555403128,1.4282019689519598,1.4282019689519598
India,08 May,1.27160493017896,0.0422860290340361,1.2012760680336,1.36290709389676,1.35245033371159,1.35245033371159
India,09 May,1.26088959971224,0.0378105507264828,1.1984079510751002,1.34151496561552,1.33305172367934,1.33305172367934
India,10 May,1.20854100777258,0.030994259414702997,1.1573712447208,1.27431730819324,1.26675222830195,1.26675222830195
India,11 May,1.13693214140652,0.0257508878127379,1.09332154616095,1.1901628638836999,1.1837555008574498,1.1837555008574498
