dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
22 June,Manipur,898,2.345504884291908,250,,,57,2.4327784891165174,58.285714285714285,2.5532634426783902,2343,38286,12384.099212529658,,,2365.6,1.0
23 June,Manipur,921,2.255749589752382,258,,,23,0.9044435705859222,60.142857142857146,2.2614988518544292,2543,40829,13206.665275776351,,,2395.1666666666665,1.0
24 June,Manipur,970,2.2310647008763254,328,,,49,1.850453172205438,59.714285714285715,2.365559800176315,2648,43477,14063.194939746954,,,2268.6666666666665,1.0
25 June,Manipur,1056,2.333546947163724,354,,,86,4.842342342342342,64.28571428571429,2.3956148067943426,1776,45253,14637.664986277088,,,2462.8333333333335,1.0
26 June,Manipur,1075,2.3755331138267075,393,,,19,,56.285714285714285,2.1200607902735564,,45253,14637.664986277088,,,2632.0,1.0
27 June,Manipur,1092,2.264620489423476,432,,,17,0.5729693292888439,45.0,1.8354312643393067,2967,48220,15597.37930387557,,,2687.8333333333335,1.0
28 June,Manipur,1185,2.4574865201161344,455,,,93,,49.142857142857146,1.8897124704732426,,48220,15597.37930387557,,,2455.4,1.0
29 June,Manipur,1227,2.4598051401307086,494,,,42,2.527075812274368,47.0,1.871334943083822,1662,49882,16134.974583905458,,,2319.2,1.0
30 June,Manipur,1234,2.4738382582895633,553,,,7,,44.714285714285715,2.1429360433005633,,49882,16134.974583905458,,,2263.25,1.0
01 July,Manipur,1260,2.5259612685938815,579,,,26,,41.42857142857143,2.263856362217018,,49882,16134.974583905458,,,2135.0,1.0
02 July,Manipur,1279,2.4118423533848765,616,,,19,0.6035578144853876,31.857142857142858,1.002957438601003,3148,53030,17153.235679894682,,,2592.3333333333335,1.0
03 July,Manipur,1316,2.454857483957618,639,,,37,6.401384083044983,34.42857142857143,1.3764213046080191,578,53608,17340.197215308202,,,2088.75,1.0
04 July,Manipur,1325,2.4319512508488885,667,,,9,1.0285714285714285,33.285714285714285,1.7084464314226409,875,54483,17623.227221340785,,,1565.75,1.0
05 July,Manipur,1366,2.5072040820072314,689,,,41,,25.857142857142858,1.7084464314226409,,54483,17623.227221340785,,,1565.75,1.0
06 July,Manipur,1390,2.456524812667892,734,,,24,1.142313184198001,23.285714285714285,1.3279618024470308,2101,56584,18302.82269868302,,,1675.5,1.0
07 July,Manipur,1430,2.475376066748602,771,,,40,3.3755274261603376,28.0,1.6356028908330165,1185,57769,18686.126192567146,,,1577.4,1.0
08 July,Manipur,1435,2.48403122782115,793,,,5,,25.0,1.6356028908330165,,57769,18686.126192567146,,,1577.4,1.0
09 July,Manipur,1450,2.4271844660194173,799,,,15,0.76103500761035,24.428571428571427,1.8628912071535022,1971,59740,19323.671497584543,,,1342.0,1.0
10 July,Manipur,1582,2.5982557853072086,832,,,132,11.508282476024412,38.0,3.022393185877181,1147,60887,19694.68340263525,,,1455.8,1.0
